5.000 1:0.6935004426264343 2:1.0 3:0.9620593402152268 4:0.8461538553237915 5:0.6156362671910832 6:1.0 7:0.7643071595061068 8:0.9200157010027395 9:1.0 10:0.1685010948450634 11:0.7371726531205255 12:0.9549859061784046 13:0.7142857142857143 14:0.8571428656578064 15:1.0 16:3.0
5.000 1:0.7340906529273761 2:1.0 3:0.8833267477440178 4:0.800000011920929 5:0.9995235009156455 6:1.0 7:0.762728373171212 8:1.0 9:1.0 10:0.9999631024565799 11:0.6903689179755639 12:1.0 13:0.7333333333333333 14:0.699999988079071 15:0.833333333333 16:4.0
0.300 1:0.5739034757754808 2:0.8888888955116272 3:0.8153296250925806 4:0.8421052694320679 5:0.5356066040768832 6:1.0 7:0.4497935881938432 8:0.0 9:1.0 10:0.0 11:0.9999999999999999 12:0.8807936326185084 13:0.5 14:0.75 15:0.666666666667 16:0.0
0.600 1:0.7236379983917091 2:0.9201388955116272 3:0.7879863214225378 4:0.8409091234207153 5:0.6789001144400247 6:1.0 7:0.424511072906844 8:0.8028512425872187 9:1.0 10:0.0041850623892684125 11:1.0 12:0.8417712022276157 13:0.8 14:0.800000011920929 15:0.8 16:3.0
4.200 1:0.6103457472988254 2:0.9722222685813904 3:0.9523959960888447 4:0.8571428656578064 5:0.6193512373166771 6:1.0 7:0.4616349982880541 8:0.7632548403970836 9:1.0 10:0.34595210546093347 11:1.0 12:0.7485404769249988 13:0.7142857142857143 14:0.8571428656578064 15:0.8 16:0.0
3.600 1:0.5857597887996447 2:0.9259259104728699 3:0.5916175844120821 4:0.8620689511299133 5:0.5953668500342432 6:1.0 7:0.5008168353881958 8:0.8350590046502766 9:1.0 10:0.3040450041985091 11:0.9999999999999999 12:0.9239892901716803 13:0.6666666666666666 14:0.8333333134651184 15:0.8 16:2.0
5.000 1:0.6684657497114851 2:0.9722222685813904 3:0.9473784222913044 4:0.8571428656578064 5:0.654909625900215 6:1.0 7:0.5363784817442747 8:0.8786064699740267 9:1.0 10:0.3705498847703097 11:0.9999999999999999 12:0.8377003451785631 13:0.6666666666666666 14:0.8333333134651184 15:0.8 16:0.0
2.750 1:0.6699377564115012 2:0.8935185074806213 3:0.8469262252722775 4:0.8333333134651184 5:0.7571309539231813 6:1.0 7:0.5346540960477228 8:0.9431758813625131 9:0.0 10:0.30842790588254027 11:0.6693480771866291 12:0.9763263354197079 13:0.47619047619047616 14:0.7142857313156128 15:0.6 16:4.0
5.000 1:0.45644436746330996 2:1.0 3:0.7139649683899818 4:0.800000011920929 5:0.338412008485665 6:1.0 7:0.731990898241026 8:1.0 9:1.0 10:0.9999631024565799 11:0.47881249839463524 12:1.0 13:0.5357142857142857 14:0.75 15:1.0 16:7.0
3.750 1:0.6259345302303688 2:0.751893937587738 3:0.9216645663105717 4:0.8235294222831726 5:0.6471535660714107 6:1.0 7:0.4199422982485259 8:0.8982516638563142 9:1.0 10:0.045247192246216074 11:0.08666981390426702 12:0.8504535876324251 13:0.5833333333333334 14:0.7777777910232544 15:0.454545454545 16:5.0
5.000 1:0.8773235709386006 2:1.0 3:0.8552225499310262 4:0.8421052694320679 5:0.9265612158102411 6:1.0 7:0.7299274322079169 8:1.0 9:1.0 10:0.9999631024565799 11:1.0 12:1.0 13:0.6 14:0.800000011920929 15:0.75 16:2.0
