4.200 1:0.4465607770794342 2:0.8998070955276489 3:0.5785664206682872 4:0.5 5:0.514739506785578 6:0.7735802949298094 7:0.5141698814920408 8:0.9453459352417706 9:1.0 10:0.8223225993938552 11:0.5751978090651493 12:0.9129846273669073 13:0.4304635761589404 14:0.32258063554763794 15:0.819345661451 16:7.0
4.250 1:0.5212674945081396 2:0.970703125 3:0.48819818311099306 4:0.46206897497177124 5:0.6225818763083529 6:1.0 7:0.4754125084928038 8:0.9521097973428121 9:1.0 10:0.42175605251661263 11:0.41285748894695445 12:0.9317852534874337 13:0.45454545454545453 14:0.21739131212234497 15:1.04166666667 16:38.0
4.800 1:0.5448255146085302 2:0.7770975232124329 3:0.5644214950703746 4:0.769784152507782 5:0.6045721870969811 6:1.0 7:0.31895840141139975 8:0.9393056725216189 9:1.0 10:0.28607738101677427 11:0.24834519332922744 12:0.8504538464537397 13:0.4444444444444444 14:0.6071428656578064 15:0.566433566434 16:13.0
4.800 1:0.5604706524337454 2:0.9620991349220276 3:0.7517220008242438 4:0.6724138259887695 5:0.8169232250971626 6:1.0 7:0.5322150247535273 8:0.8946171172866337 9:1.0 10:0.328159300467197 11:0.38356136676589453 12:0.9217433963494366 13:0.6222222222222222 14:0.699999988079071 15:0.888888888889 16:0.0
4.000 1:0.3279073119703641 2:0.8652272820472717 3:0.6564914502537255 4:0.4676259160041809 5:0.4566059068547697 6:1.0 7:0.365337843883554 8:0.881094195347158 9:1.0 10:0.13065217257753742 11:0.29058211349535495 12:0.8951224996428906 13:0.25745257452574527 14:0.40425533056259155 15:0.428093645485 16:59.0
4.800 1:0.46818879998232643 2:0.9620991349220276 3:0.7065484810127324 4:0.6724138259887695 5:0.7307116170964854 6:1.0 7:0.5522433586000675 8:0.889825108420718 9:1.0 10:0.2249459503066245 11:0.4136893276051511 12:0.918529213140027 13:0.55 14:0.6000000238418579 15:0.888888888889 16:3.0
3.750 1:0.3213496607515653 2:0.8450943231582642 3:0.5978764281263405 4:0.5791854858398438 5:0.43686645965055015 6:1.0 7:0.30819041107779344 8:0.8620599170632806 9:1.0 10:0.1643076930124706 11:0.14427721586643577 12:0.8765623600654077 13:0.30522765598650925 14:0.5249999761581421 15:0.756613756614 16:46.0
4.800 1:0.21840242824675446 2:0.8766276836395264 3:0.4908605725486057 4:0.4811320900917053 5:0.37513598545335025 6:0.0 7:0.23478468967280602 8:0.8887654018129523 9:1.0 10:0.00937990119922982 11:0.3188817741749787 12:0.7849906563046004 13:0.25821596244131456 14:0.45454543828964233 15:0.740021574973 16:26.0
4.000 1:0.4162762167188939 2:0.890228271484375 3:0.6381867581768169 4:0.604651153087616 5:0.56458043769769 6:1.0 7:0.5562342470320167 8:0.7598759862748623 9:1.0 10:0.4913961307950721 11:0.3198175145731956 12:0.7313716258522436 13:0.39243027888446214 14:0.5641025304794312 15:0.639097744361 16:47.0
4.800 1:0.5724062441384871 2:0.9032528400421143 3:0.6206275627492713 4:0.548701286315918 5:0.8061387874777499 6:0.5120732137299194 7:0.6090240838146324 8:0.9341395273783777 9:1.0 10:0.6032633963153894 11:0.4409683760798601 12:0.9645713742081472 13:0.5752314814814815 14:0.37288135290145874 15:0.0 16:17.0
4.800 1:0.4836886479122869 2:0.8991770148277283 3:0.6735175254502423 4:0.5283018946647644 5:0.76893222758619 6:0.0 7:0.321263872937649 8:0.9483601235725767 9:1.0 10:0.30972585774501316 11:0.31364281196463517 12:0.9441729981181736 13:0.48826291079812206 14:0.5454545021057129 15:0.83660130719 16:17.0
4.200 1:0.4142020311750015 2:0.8879159688949585 3:0.5941952831133931 4:0.5064102411270142 5:0.44562324290826083 6:1.0 7:0.38106325251497064 8:0.8582959347730806 9:1.0 10:0.028140900090493366 11:0.09264795990046351 12:0.8121184132197014 13:0.3448275862068966 14:0.19999998807907104 15:0.761904761905 16:29.0
4.500 1:0.9803952835411184 2:1.0 3:0.9891304694869669 4:0.9189189076423645 5:0.8824456435626845 6:1.0 7:0.26139756281344106 8:0.878815046215192 9:1.0 10:0.08521235204906459 11:0.4502154238258822 12:0.8224590845154045 13:1.0 14:0.8571428656578064 15:1.11111111111 16:3.0
4.000 1:0.6395428109187223 2:0.98046875 3:0.7997232189303286 4:0.23391813039779663 5:0.8432721989267681 6:1.0 7:0.6022242588457467 8:0.9516679513979602 9:1.0 10:0.3197491319292221 11:0.44431427382695504 12:0.9670398107401206 13:0.44148936170212766 14:0.21875 15:0.907258064516 16:4.0
4.000 1:0.4900676880398076 2:0.9711399674415588 3:0.5078214896913735 4:0.4954954981803894 5:0.6833796543561668 6:1.0 7:0.49181027592155546 8:0.8294261369439642 9:1.0 10:0.5541285219534081 11:0.1755356205695269 12:0.8478541984447207 13:0.2222222222222222 14:0.5 15:0.852631578947 16:35.0
4.000 1:0.29733615330395313 2:0.9114750623703003 3:0.6717984632282665 4:0.53125 5:0.4522887967657725 6:1.0 7:0.5107851386287663 8:0.8895671789534942 9:1.0 10:0.17529285642309633 11:0.3801662346272956 12:0.8482207178249999 13:0.22613709160794362 14:0.34328359365463257 15:0.816252494105 16:49.0
3.800 1:0.22743401713593034 2:0.8619977831840515 3:0.5849260948498672 4:0.39416056871414185 5:0.201342920696453 6:0.0 7:0.22303857940560617 8:0.0 9:0.0 10:4.265658712014559E-4 11:0.40144962110494736 12:0.6833397927931751 13:0.23703703703703705 14:0.3333333134651184 15:0.725806451613 16:15.0
5.000 1:0.6827945130441778 2:0.9841270446777344 3:0.8081129096261003 4:0.6712328791618347 5:0.6383601608774149 6:1.0 7:0.538375672437639 8:0.9854945654453843 9:1.0 10:0.6618620806164164 11:0.2350830688500648 12:0.9584026528440893 13:0.625 14:0.52173912525177 15:0.956937799043 16:23.0
4.800 1:0.30514182956336855 2:0.8985763788223267 3:0.6301063442757606 4:0.5276873111724854 5:0.5622017470959152 6:0.7177992811819686 7:0.37715410979314157 8:0.8451611379856594 9:1.0 10:0.4555317763095108 11:0.26398262372359715 12:0.8080444415939838 13:0.3081570996978852 14:0.19565218687057495 15:1.06757940854 16:68.0
4.800 1:0.4476046185665127 2:0.8914285898208618 3:0.48344023788901574 4:0.4750000238418579 5:0.48479196604283714 6:1.0 7:0.2633002730942236 8:0.83317967616846 9:1.0 10:0.07196615283827176 11:0.20178372418559737 12:0.8657802831644613 13:0.33948339483394835 14:0.192307710647583 15:0.606060606061 16:19.0
4.400 1:0.3967628536758915 2:0.9075943231582642 3:0.5564809057990879 4:0.615384578704834 5:0.5168994131941358 6:1.0 7:0.35728537959372 8:0.9530505747488441 9:1.0 10:0.09769311354644496 11:0.14970881216517448 12:0.9504241487066326 13:0.3777403035413153 14:0.574999988079071 15:0.725274725275 16:22.0
3.500 1:0.287802199065172 2:0.6613960862159729 3:0.5270437898423972 4:0.5118110179901123 5:0.29215491502722274 6:1.0 7:0.19462282871207076 8:0.9520734470744047 9:1.0 10:0.02421524738482851 11:0.3905856595351389 12:0.9464449098196722 13:0.175 14:0.37931036949157715 15:0.651851851852 16:11.0
4.800 1:0.4833555700737758 2:0.9668367505073547 3:0.8153178726963918 4:0.6993464231491089 5:0.5294537412158614 6:1.0 7:0.5023251059878194 8:0.9162294922742543 9:1.0 10:0.7100044451207272 11:0.6160960750502642 12:0.8992260768306279 13:0.4117647058823529 14:0.5833333730697632 15:0.953333333333 16:21.0
3.000 1:0.36086467199122324 2:0.9711399674415588 3:0.461937726071541 4:0.35135138034820557 5:0.5536972900323943 6:1.0 7:0.5009227086755278 8:0.7311843552822517 9:1.0 10:0.03890094034348817 11:0.08489025250207695 12:0.8380423111982063 13:0.12777777777777777 14:0.25 15:0.616783216783 16:37.0
5.000 1:0.48668324589685014 2:1.0 3:0.6775262565934824 4:0.21621620655059814 5:0.49748865330648284 6:0.45797215802611474 7:0.5474693005789772 8:0.9639203463113306 9:1.0 10:0.42118617720697354 11:0.1056964266967201 12:0.9426030794168992 13:0.3728813559322034 14:-0.16666662693023682 15:0.942857142857 16:3.0
4.400 1:0.2553383675598485 2:0.8163662552833557 3:0.5978811766835941 4:0.510869562625885 5:0.347200723025482 6:0.49605626803342656 7:0.32427333374141987 8:0.9469290788319598 9:1.0 10:0.03950024978964197 11:0.24243804422451715 12:0.9331332802738874 13:0.18220338983050846 14:0.37254899740219116 15:0.538582677165 16:51.0
3.000 1:0.005071618749355052 2:0.7139050960540771 3:0.43232238435012094 4:0.3095238208770752 5:2.816351578319151E-4 6:0.0 7:0.20360707262767344 8:0.774330466892102 9:1.0 10:0.0014335448463169054 11:0.15479758101601662 12:0.0 13:0.0 14:0.13333332538604736 15:0.964285714286 16:11.0
3.400 1:0.3240401613283913 2:0.7537685036659241 3:0.5681045350412728 4:0.40883976221084595 5:0.4346323262894989 6:0.8295811693985506 7:0.3583340884471 8:0.9407583773613574 9:1.0 10:0.49547210364531435 11:0.25658061695110507 12:0.9357473184303025 13:0.18662952646239556 14:0.3999999761581421 15:0.428571428571 16:41.0
3.600 1:0.4066948196169407 2:0.932275116443634 3:0.6405547608401948 4:0.2934131622314453 5:0.46378235213001784 6:0.4468044040994825 7:0.5767845813153777 8:0.9360481675551472 9:1.0 10:0.521466557561629 11:0.27588393960038704 12:0.9344590350817396 13:0.2765957446808511 14:0.1875 15:0.846774193548 16:24.0
4.600 1:0.3221825782499656 2:0.7815759778022766 3:0.6167101029496367 4:0.5478260517120361 5:0.5143784260657669 6:1.0 7:0.3516885685657531 8:0.9231560810284446 9:1.0 10:0.007113622720565079 11:0.13740418575583319 12:0.9416720235416575 13:0.29381443298969073 14:0.476190447807312 15:0.913659205116 16:11.0
4.400 1:0.40837509891446006 2:0.876912534236908 3:0.6838455258142364 4:0.6183745861053467 5:0.622592278635916 6:0.8585943730758192 7:0.4733832412586585 8:0.794428674116118 9:1.0 10:0.171364971591705 11:0.12636154397463165 12:0.7709392263505441 13:0.43578485181119647 14:0.5961538553237915 15:0.76688453159 16:64.0
4.200 1:0.32271602934632726 2:0.8274000883102417 3:0.5705120763331823 4:0.5076923370361328 5:0.5386181291474248 6:0.0 7:0.4731268092505916 8:0.9245577293802387 9:0.0 10:0.2307430939592145 11:0.5202415405745215 12:0.9196522347847034 13:0.2841225626740947 14:0.4444444179534912 15:0.625651720542 16:55.0
