RUN 	answers-forums 	answers-students 	belief 	headlines 	images 	Mean 	Rank
Baseline-tokencos 	0.4453 	0.6647 	0.6517 	0.5312 	0.6039 	0.5871 	61
A96T-RUN1 	0.6686 	0.7192 	0.7117 	0.7357 	0.7896 	0.7337 	29
ASAP-FIRSTRUN 	0.2304 	0.6503 	0.3928 	0.6614 	0.6548 	0.5695 	63
ASAP-SECONDRUN 	0.2374 	0.7095 	0.3986 	0.7039 	0.7294 	0.6152 	56
**ASAP-THIRDRUN 	0.2303 	0.6719 	0.4342 	0.7156 	0.7250 	0.6112 	57
AZMAT-RUNABS 	0.3099 	0.4282 	0.3568 	0.5280 	0.5118 	0.4503 	70
AZMAT-RUNCAP 	0.2932 	0.4282 	0.3526 	0.5350 	0.5186 	0.4512 	69
AZMAT-RUNSCALE 	0.2933 	0.4293 	0.3587 	0.5264 	0.5145 	0.4490 	71
BLCUNLP-1stRUN 	0.4231 	0.5152 	0.5510 	0.5651 	0.7163 	0.5709 	62
BLCUNLP-2ndRUN 	0.5725 	0.6586 	0.5510 	0.7238 	0.8271 	0.6928 	44
BLCUNLP-3rdRUN 	0.5725 	0.5753 	0.4462 	0.7309 	0.8070 	0.6556 	49
BUAP-RUN1 	0.5564 	0.6901 	0.6473 	0.7167 	0.7658 	0.6936 	43
DalGTM-run1 	0.2902 	-0.0534 	0.0625 	0.0598 	0.0663 	0.0623 	74
DalGTM-run2 	0.3537 	0.1189 	0.0625 	0.2354 	0.2042 	0.1917 	72
DalGTM-run3 	0.1533 	0.1189 	-0.1319 	-0.0395 	0.2021 	0.0731 	73
DCU-RUN1 	0.5556 	0.6582 	0.5464 	0.8284 	0.8394 	0.7192 	34
DCU-RUN2 	0.5628 	0.6233 	0.7549 	0.8187 	0.8350 	0.7340 	28
DCU-RUN3 	0.6530 	0.6108 	0.6977 	0.8181 	0.8434 	0.7369 	26
DLS@CU-S1 	0.7390 	0.7725 	0.7491 	0.8250 	0.8644 	0.8015 	1
DLS@CU-S2 	0.7241 	0.7569 	0.7223 	0.8250 	0.8631 	0.7921 	3
DLS@CU-U 	0.6821 	0.7879 	0.7325 	0.8238 	0.8485 	0.7919 	5
