4.400 1:0.32479030543426335 2:0.8383219838142395 3:0.5387033738002274 4:0.4948453903198242 5:0.42096664154783536 6:1.0 7:0.36953590370666817 8:0.8188403199494402 9:1.0 10:0.7962395036060841 11:0.09339358769080114 12:0.8452523614254993 13:0.2 14:0.19999998807907104 15:0.993243243243 16:4.0
0.800 1:0.16679093290007196 2:0.8240740895271301 3:0.49379840437920064 4:0.5670102834701538 5:0.21518681148130675 6:0.09271823417213872 7:0.26353569307189617 8:0.9000630792288542 9:1.0 10:0.03821803956638979 11:0.3222764166444268 12:0.8966600585765649 13:0.24342105263157895 14:0.3684210777282715 15:0.542857142857 16:10.0
3.600 1:0.487412540343663 2:0.9031707048416138 3:0.667639227099972 4:0.45299142599105835 5:0.6468868613132172 6:0.5908423773065389 7:0.36311811758999013 8:0.8031186304049379 9:1.0 10:0.682506859037218 11:0.6329638795427347 12:0.8206974453865632 13:0.36971830985915494 14:0.48000001907348633 15:0.74609977713 16:26.0
3.400 1:0.4880392593924007 2:0.7281179428100586 3:0.666387558346938 4:0.5887850522994995 5:0.7151913348821086 6:0.0 7:0.38435307013201947 8:0.0 9:1.0 10:0.0 11:0.27051303651721925 12:0.8853172645991089 13:0.4263157894736842 14:0.5909091234207153 15:0.531005418423 16:39.0
1.400 1:0.23220739351194958 2:0.4460624158382416 3:0.3899629497689541 4:0.2765957713127136 5:0.36003361722340077 6:0.27530224496665184 7:0.15971253543088565 8:0.6656787444397041 9:0.0 10:0.3706593219492405 11:0.3338803479606849 12:0.7649167388766459 13:0.07751937984496124 14:0.0 15:0.0 16:34.0
4.600 1:0.581153176564377 2:0.7961002588272095 3:0.6763321428854994 4:0.5268816947937012 5:0.7630324934952869 6:0.9072775398125068 7:0.3046051102687992 8:0.9506797784400348 9:1.0 10:0.5045803287183188 11:0.597222501866614 12:0.8932222506797017 13:0.38004246284501064 14:0.40625 15:0.848361162647 16:4.0
1.400 1:0.46644965322834053 2:0.6523147821426392 3:0.46796087975663214 4:0.36190474033355713 5:0.46258077262045244 6:0.295502654268555 7:0.2945413851938131 8:0.8146513924563499 9:0.0 10:0.10351540454934816 11:0.05964125861912343 12:0.8010338028181765 13:0.38571428571428573 14:0.0 15:0.712727272727 16:37.0
3.600 1:0.5431131304705404 2:0.9639999270439148 3:0.7219147855762448 4:0.59375 5:0.41468775345290654 6:0.3709027066207132 7:0.38593750267146243 8:0.9207018877746356 9:0.0 10:0.2752499406794486 11:0.367591347351366 12:0.7677720498151436 13:0.5059171597633136 14:0.4444444179534912 15:0.825806451613 16:8.0
2.000 1:0.6000039444315604 2:0.898268461227417 3:0.6405994351318052 4:0.6351351737976074 5:0.8580651883421444 6:0.7302806113105473 7:0.37344903441614696 8:0.9624092825563564 9:1.0 10:0.37420721467555923 11:0.21175684180096435 12:0.864747531790181 13:0.47147147147147145 14:0.5517241358757019 15:0.780487804878 16:20.0
5.000 1:0.7003604890120434 2:0.9201388955116272 3:0.6395866341984318 4:0.5934065580368042 5:0.7675916026491949 6:1.0 7:0.29152065505750047 8:0.8767555130479029 9:1.0 10:0.7910166449017564 11:0.440969656097424 12:0.8104355524591325 13:0.5729166666666666 14:0.5333333015441895 15:0.977777777778 16:16.0
