5.000 1:0.6097749928968769 2:0.65625 3:0.8123328180859408 4:0.6607142686843872 5:0.2905411373174266 6:1.0 7:0.18784636136896152 8:0.8100859313247707 9:1.0 10:0.19035738421235074 11:0.10906975183825654 12:0.9729510122398658 13:0.38461538461538464 14:-0.16666662693023682 15:0.933333333333 16:17.0
3.250 1:0.2679474819393417 2:0.6701298356056213 3:0.3316092034898052 4:0.23333334922790527 5:0.41497186006782855 6:1.0 7:0.36833589023584823 8:0.9713072969860114 9:1.0 10:3.605950092919008E-4 11:0.0 12:0.0 13:0.027777777777777776 14:-0.11111116409301758 15:0.357142857143 16:17.0
3.250 1:0.13924783793828072 2:0.8999999761581421 3:0.28884722160156656 4:0.24657535552978516 5:0.1235535223970225 6:1.0 7:0.2601425158563162 8:0.793818836497611 9:1.0 10:0.003065985248071177 11:0.0 12:0.7914094315973528 13:0.04395604395604396 14:0.07142859697341919 15:0.233918128655 16:3.0
4.000 1:0.25329902841921215 2:0.7654761672019958 3:0.4299703567562825 4:0.47272729873657227 5:0.35861250173731385 6:1.0 7:0.38016354127684404 8:0.6967117181228728 9:1.0 10:0.019281061601914097 11:0.04251129376899526 12:0.0 13:0.05454545454545454 14:0.1666666865348816 15:0.214285714286 16:14.0
3.250 1:0.2648477601043799 2:0.6428571343421936 3:0.5068694757655867 4:0.238095223903656 5:0.3200505432066167 6:1.0 7:0.253859775961765 8:0.9353418321511661 9:1.0 10:0.007299548542374092 11:0.34381423361613445 12:0.6628024429147072 13:0.06666666666666667 14:-0.5 15:0.277777777778 16:10.0
4.000 1:0.36658907976791044 2:0.7989417910575867 3:0.5975645620314444 4:0.37735849618911743 5:0.3529854896514151 6:1.0 7:0.3976138468970735 8:0.9509190812856307 9:1.0 10:0.028495934497619745 11:0.2837528698733699 12:0.8937022666021116 13:0.2 14:-0.8333333730697632 15:0.833333333333 16:24.0
3.333 1:0.15969225400071638 2:0.6607142686843872 3:0.506148303297785 4:0.3035714030265808 5:0.30231575506338493 6:1.0 7:0.4220100914338918 8:0.7132964960290391 9:0.0 10:9.07549958822184E-4 11:0.3136748351153272 12:0.0 13:0.022222222222222223 14:0.19999998807907104 15:0.177777777778 16:22.0
4.750 1:0.11321330996009331 2:0.5 3:0.36016742134432644 4:0.22857141494750977 5:0.012125680471136418 6:1.0 7:3.44020743063057E-8 8:0.0 9:1.0 10:0.0 11:0.0 12:0.9693229893749651 13:0.0 14:-1.6666667461395264 15:0.777777777778 16:16.0
0.500 1:0.11459420253333172 2:0.3645833432674408 3:0.3447552403355264 4:0.3809523582458496 5:0.055622374031818606 6:1.0 7:2.904671424720766E-8 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:9.0
4.750 1:0.02799593141892793 2:0.7460317611694336 3:0.09999597112599475 4:0.19999998807907104 5:0.005125222565601441 6:1.0 7:0.22047908297308516 8:0.0 9:1.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.1111111044883728 15:0.333333333333 16:12.0
3.750 1:0.21851092940708838 2:0.7791004776954651 3:0.2678285476178215 4:0.41025638580322266 5:0.28000183931145645 6:1.0 7:0.24959085790494584 8:0.9202114993006179 9:1.0 10:0.014113777922685257 11:0.0 12:0.9175222704527574 13:0.0 14:0.1428571343421936 15:0.214285714286 16:2.0
4.000 1:0.2673099316548591 2:0.6806511282920837 3:0.6478653536158627 4:0.43103450536727905 5:0.35555333631239266 6:1.0 7:0.3017724394882487 8:0.0 9:1.0 10:1.1966366926458992E-4 11:0.09699988166405002 12:0.0 13:0.14285714285714285 14:0.4166666865348816 15:0.15 16:21.0
1.500 1:0.03866138813572479 2:0.5652778148651123 3:0.17545394100380046 4:0.24561405181884766 5:0.00856472540088863 6:1.0 7:1.2975141801390576E-7 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:-0.8333333730697632 15:0.0 16:17.0
2.500 1:0.0 2:0.9375 3:0.5029428025404624 4:0.13333332538604736 5:0.43203652907855555 6:1.0 7:0.4135925078478258 8:0.0 9:1.0 10:5.079986453137725E-6 11:0.0 12:0.5807986887010324 13:0.0 14:-1.3333332538604736 15:0.380952380952 16:19.0
4.250 1:0.17627049866537473 2:0.6655102372169495 3:0.5301714065452547 4:0.25 5:0.37394546352381514 6:1.0 7:0.3491086028147256 8:0.0 9:1.0 10:8.148950221540401E-5 11:0.09869958581898496 12:0.6330256511180947 13:0.0 14:0.1111111044883728 15:0.0833333333333 16:34.0
3.500 1:0.0674037887986321 2:0.7388392686843872 3:0.5854614330889523 4:0.3529411554336548 5:0.04772766216360282 6:1.0 7:1.9975769832221405E-6 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0425531914893617 14:0.08333331346511841 15:0.0 16:3.0
4.250 1:0.1969984355888792 2:0.8393654823303223 3:0.5565963370900295 4:0.2195122241973877 5:0.1214277272469733 6:1.0 7:0.15047927582880122 8:0.968177120991381 9:1.0 10:0.083926001928907 11:0.0 12:0.9749087451239348 13:0.0 14:-1.4000000953674316 15:0.466666666667 16:49.0
5.000 1:0.34724633074512345 2:0.9405438303947449 3:0.6628202775814346 4:0.3896104097366333 5:0.39815909460523474 6:1.0 7:0.49271415773295313 8:0.7282682140075678 9:1.0 10:0.06062659598115717 11:0.5221852025979653 12:0.753745129559277 13:0.11904761904761904 14:0.2857142686843872 15:0.555555555556 16:1.0
3.750 1:0.02879427607808048 2:0.3643077611923218 3:0.31387332857688005 4:0.2142857313156128 5:0.011091703252115538 6:1.0 7:0.1886235902228377 8:0.6830075666903516 9:1.0 10:0.002863052279355464 11:0.15518929675847773 12:0.8238911614868851 13:0.0 14:0.1111111044883728 15:0.2 16:1.0
2.750 1:0.1558504124911009 2:0.4206348955631256 3:0.5831704185384908 4:0.16326528787612915 5:0.2670033486175187 6:1.0 7:0.33887164871498315 8:0.0 9:1.0 10:3.100555133808683E-8 11:0.0 12:0.0 13:0.0 14:0.0 15:0.3 16:30.0
3.500 1:0.27927700861317445 2:0.8518518805503845 3:0.5652144079203875 4:0.24390244483947754 5:0.08707101491016277 6:1.0 7:0.12889256027446397 8:0.0 9:1.0 10:0.0 11:0.0 12:0.0 13:0.09523809523809523 14:-0.4285714626312256 15:0.444444444444 16:2.0
3.500 1:0.025118587422680416 2:0.5325680375099182 3:0.3403292738200309 4:0.2894737124443054 5:0.001384381460349628 6:1.0 7:2.6125694052147066E-7 8:0.0 9:1.0 10:0.0 11:0.0 12:0.0 13:0.0 14:-0.25 15:0.466666666667 16:28.0
3.500 1:0.32061161693263923 2:0.9296296238899231 3:0.5862911811455859 4:0.2112675905227661 5:0.20904890935462733 6:1.0 7:0.2259151890293063 8:0.8796226572337207 9:1.0 10:0.02120519874560317 11:0.08958492900076175 12:0.7379979906529921 13:0.0 14:-3.0 15:0.969696969697 16:46.0
4.250 1:0.12682776849043587 2:0.5203704237937927 3:0.7856268256403223 4:0.2698412537574768 5:0.25943487244612373 6:0.0 7:0.5268916941365546 8:0.7167773616152823 9:1.0 10:0.20724403305837644 11:0.532313622407059 12:0.8015606649664577 13:0.03296703296703297 14:0.2857142686843872 15:0.116883116883 16:45.0
2.750 1:0.8462077823841118 2:1.0 3:0.8419790091507506 4:0.19718307256698608 5:0.5420681698492227 6:1.0 7:0.5560487292113997 8:0.5455856617386096 9:1.0 10:0.010567311214171118 11:0.0 12:0.47344904484859407 13:0.6 14:-3.4000000953674316 15:1.57142857143 16:112.0
2.250 1:0.11406415184190113 2:0.5952380895614624 3:0.4300329646336081 4:0.1666666865348816 5:0.053534818831758965 6:1.0 7:3.1259019932985967E-7 8:0.0 9:1.0 10:2.0498121859058566E-5 11:0.0 12:0.8328389020733071 13:0.0 14:-2.0 15:0.714285714286 16:34.0
3.750 1:0.7645061831466371 2:0.875 3:0.6080997332971382 4:0.19999998807907104 5:0.8692323457653608 6:1.0 7:0.08540464026909608 8:0.0 9:1.0 10:0.0 11:0.0 12:0.0 13:0.21428571428571427 14:-0.5 15:0.466666666667 16:37.0
