0.000 1:0.20413606451510494 2:1.0 3:0.5260294100485454 4:0.2799999713897705 5:0.12373014895686366 6:1.0 7:0.12978111464492215 8:1.0 9:1.0 10:0.0036452451656872912 13:0.043478260869565216 14:-0.5 15:0.125 16:25.0
0.000 1:0.14708824335785242 2:0.0 3:0.33862396989891463 4:0.25 5:0.13290492002849583 6:1.0 7:0.0 8:0.5661296778284871 9:1.0 10:0.0600821443193156 13:0.0 14:-0.10000002384185791 15:0.333333333333 16:7.0
0.333 1:0.05524568076296669 2:0.47375136613845825 3:0.5138938698549328 4:0.20257234573364258 5:0.20426966798146207 6:1.0 7:0.055700566114753595 8:0.0 9:1.0 10:2.4802701353471465E-5 13:0.01814300960512273 14:0.10000002384185791 15:0.0216346153846 16:227.0
3.000 1:0.28311804120521505 2:0.0 3:0.2301586882677274 4:0.13793104887008667 5:0.32164610689492995 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:0.0 15:0.2 16:2.0
1.000 1:0.05336088159357364 2:0.6599999666213989 3:0.45356250052798214 4:0.1459854245185852 5:0.11486999498114889 6:1.0 7:0.13797505006174926 8:0.0 9:1.0 10:0.0 13:0.0 14:0.04000002145767212 15:0.00927643784787 16:113.0
0.667 1:0.3718697663841741 2:1.0 3:0.34444206850802295 4:0.11904764175415039 5:0.14492921995858962 6:1.0 7:0.2181081244634441 8:0.0 9:1.0 10:0.0 13:0.0 14:-5.0 15:0.555555555556 16:110.0
1.000 1:0.2886892788567398 2:0.0 3:0.502992332982626 4:0.3478260636329651 5:0.2535509795537782 6:1.0 7:0.0 8:0.800945362328717 9:1.0 10:0.003682983082244103 13:0.18333333333333332 14:0.0 15:0.266666666667 16:28.0
0.333 1:0.11897518743278125 2:0.0 3:0.5023627305395904 4:0.2641509175300598 5:0.24592568432866832 6:1.0 7:0.0 8:0.0 9:1.0 10:1.5683824338161756E-4 13:0.0 14:0.09090906381607056 15:0.0333333333333 16:37.0
0.667 1:0.10107955073502735 2:0.14748677611351013 3:0.5588095791347178 4:0.31578946113586426 5:0.17496043377633402 6:1.0 7:3.488629018963676E-8 8:0.0 9:1.0 10:0.0 13:0.041237113402061855 14:0.2666666507720947 15:0.117216117216 16:39.0
0.333 1:0.10389121908181731 2:0.0 3:0.47352781812009137 4:0.29032260179519653 5:0.06054040532030313 6:1.0 7:0.0 8:0.9143557915595284 9:1.0 10:0.5584402634651363 13:0.0 14:0.0 15:0.111111111111 16:5.0
1.333 1:0.181034700799929 2:0.7045454382896423 3:0.5770649806218041 4:0.2215569019317627 5:0.15251884711884425 6:1.0 7:0.0779643210175449 8:0.0 9:1.0 10:0.0 13:0.12903225806451613 14:-2.0 15:0.226890756303 16:119.0
1.333 1:0.21965228195070427 2:0.4137662351131439 3:0.5843727793497462 4:0.2673267126083374 5:0.19088130678222928 6:1.0 7:3.157279940781451E-8 8:1.0 9:0.0 10:0.0021498360773626515 13:0.12121212121212122 14:-0.75 15:0.541935483871 16:43.0
3.667 1:0.19122629681416253 2:0.5208333134651184 3:0.546877134327271 4:0.23762375116348267 5:0.1411454431301535 6:1.0 7:3.2506387670120125E-8 8:0.956760023188619 9:0.0 10:0.04267213417398154 13:0.038461538461538464 14:-0.384615421295166 15:0.220779220779 16:31.0
0.333 1:0.15590260285086932 2:0.4000000059604645 3:0.5526713682305175 4:0.42465752363204956 5:0.16961051910326289 6:1.0 7:1.5998094781175181E-9 8:0.9001184915532635 9:1.0 10:0.010871177444127585 13:0.07692307692307693 14:0.23076921701431274 15:0.30303030303 16:24.0
0.667 1:0.1167081242180779 2:0.5208333134651184 3:0.5151633672849456 4:0.3333333134651184 5:0.1788976361886585 6:1.0 7:2.0757777584356682E-7 8:0.0 9:0.0 10:0.0 13:0.04597701149425287 14:0.2857142686843872 15:0.239130434783 16:0.0
0.000 1:0.0639103017576832 2:0.0 3:0.42539071029267717 4:0.1780821681022644 5:0.056888524412530304 6:1.0 7:0.0 8:0.0 9:1.0 10:1.6997703575797227E-4 13:0.006896551724137931 14:0.06896549463272095 15:0.0376344086022 16:103.0
0.333 1:0.0 2:0.0 3:0.22820419274354847 4:0.21311473846435547 5:0.0 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:0.0 15:0.0 16:15.0
1.000 1:0.10655411737730998 2:0.0 3:0.41933534867192507 4:0.25 5:0.17688916875029762 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.009259259259259259 14:0.0625 15:0.155844155844 16:49.0
1.000 1:0.10622932349268954 2:0.0 3:0.4537632805861893 4:0.239130437374115 5:0.16587355746675747 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.05128205128205128 14:-0.7999999523162842 15:0.142222222222 16:34.0
1.667 1:0.09233043385780092 2:0.22760944068431854 3:0.5942437664607751 4:0.26153844594955444 5:0.18904860354762068 6:1.0 7:6.5789621597002784E-9 8:0.6656799975574952 9:0.0 10:0.28898428699509543 13:0.018018018018018018 14:0.13333332538604736 15:0.0166666666667 16:88.0
1.667 1:0.2071461494605533 2:1.0 3:0.4451878153723978 4:0.296875 5:0.14863604855284562 6:1.0 7:0.13573658437041283 8:0.9533626228078801 9:1.0 10:0.015175519448279178 13:0.06666666666666667 14:-1.0 15:0.275 16:28.0
0.667 1:0.060568874151074654 2:0.0 3:0.34442949765456604 4:0.24590164422988892 5:0.05461889620283672 6:1.0 7:0.0 8:0.5880402956522266 9:1.0 10:0.0419162268203979 13:0.00909090909090909 14:0.07999998331069946 15:0.0527009222661 16:70.0
0.333 1:0.09230844287330062 2:1.0 3:0.4694209161193989 4:0.24657535552978516 5:0.1277646150838083 6:1.0 7:0.08525248375579278 8:0.0 9:1.0 10:0.0 13:0.014492753623188406 14:0.0 15:0.118518518519 16:10.0
0.333 1:0.3522355167082678 2:0.0 3:0.4213904782026492 4:0.25 5:0.2690348005461378 6:1.0 7:0.0 8:0.0 9:0.0 10:0.0 13:0.07142857142857142 14:-0.375 15:0.144736842105 16:33.0
0.000 1:0.12060391151282499 2:0.0 3:0.44974781345099835 4:0.29347825050354004 5:0.21593920198785863 6:1.0 7:0.0 8:1.0 9:1.0 10:0.14032770634192043 13:0.10344827586206896 14:-0.20000004768371582 15:0.206451612903 16:15.0
2.667 1:0.13348971700176473 2:0.4730378985404968 3:0.4957915485558646 4:0.2662721872329712 5:0.21391078576352063 6:1.0 7:1.8228538389489783E-7 8:0.9089117675660994 9:0.08566813349959668 10:0.018580678933313038 13:0.0375 14:0.09375 15:0.0844277673546 16:80.0
0.333 1:0.14315966127978527 2:0.5208333134651184 3:0.4435701756824928 4:0.29192548990249634 5:0.16299617851714748 6:1.0 7:1.7954618735934357E-8 8:0.6307988434969156 9:1.0 10:0.009855661193920269 13:0.07432432432432433 14:-0.6111111640930176 15:0.103846153846 16:57.0
3.333 1:0.20511843470922728 2:0.0 3:0.6090482480012949 4:0.3333333134651184 5:0.34713418632219595 6:1.0 7:0.0 8:0.0 9:1.0 10:7.587936928686056E-4 13:0.06666666666666667 14:0.3333333134651184 15:0.15 16:27.0
3.667 1:0.40061365950791195 2:0.0 3:0.3874997188172593 4:0.25925928354263306 5:0.4133087549193175 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:-0.3999999761581421 15:0.218181818182 16:2.0
1.667 1:0.07849345582321625 2:0.06363636255264282 3:0.5707549555074692 4:0.09868419170379639 5:0.2613989564424104 6:1.0 7:1.3472892423748222E-9 8:0.8584512529563637 9:1.0 10:0.009289992417949436 13:0.007220216606498195 14:0.07142859697341919 15:0.0286738351254 16:133.0
0.667 1:0.14395811679040735 2:0.4235714375972748 3:0.49108412332214807 4:0.2150537371635437 5:0.2096225451374114 6:1.0 7:2.030882187764651E-8 8:0.0 9:0.0 10:2.929831929490363E-5 13:0.1 14:0.0 15:0.193181818182 16:11.0
1.000 1:0.2104585854565347 2:1.0 3:0.49347526108101963 4:0.2985074520111084 5:0.23957507268210118 6:1.0 7:0.0986653435626704 8:0.8846153846153846 9:1.0 10:0.41842959301395233 13:0.04597701149425287 14:-0.07142853736877441 15:0.189473684211 16:21.0
2.667 1:0.13075130147779682 2:0.5999773144721985 3:0.5149050492670695 4:0.3469387888908386 5:0.24141939052308445 6:1.0 7:0.02581688904896483 8:0.0 9:1.0 10:1.6078079838359552E-4 13:0.07231040564373897 14:0.0 15:0.294642857143 16:79.0
0.000 1:0.23634208422514744 2:0.6785714626312256 3:0.4984544450032427 4:0.3283582329750061 5:0.17017769610268815 6:1.0 7:0.1157520523874431 8:0.0 9:1.0 10:0.0 13:0.047619047619047616 14:-0.7142857313156128 15:0.222222222222 16:24.0
4.000 1:0.795911740338737 2:0.0 3:0.5999909919632761 4:0.25925928354263306 5:0.6057154360848405 6:1.0 7:0.0 8:1.0 9:1.0 10:0.10765391666666675 13:0.0 14:-0.6666666269302368 15:0.416666666667 16:15.0
0.333 1:0.2832189796754402 2:0.375 3:0.5149026511198446 4:0.3448275923728943 5:0.24758635093784986 6:1.0 7:3.1446495627285074E-9 8:0.0 9:1.0 10:0.0 13:0.125 14:0.1538461446762085 15:0.22966507177 16:2.0
0.333 1:0.10753553370892104 2:0.0 3:0.5304393901713331 4:0.21238940954208374 5:0.16844709415324308 6:1.0 7:0.0 8:1.0 9:1.0 10:0.06079400360652546 13:0.005494505494505495 14:0.09090906381607056 15:0.04 16:80.0
2.000 1:0.15470211843040096 2:0.0 3:0.7062618421708411 4:0.3877550959587097 5:0.23988967902469832 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.017241379310344827 14:0.1538461446762085 15:0.0484848484848 16:25.0
1.333 1:0.05812098777187324 2:0.7962962985038757 3:0.480032301366353 4:0.3048780560493469 5:0.07923811369118566 6:1.0 7:0.11101918694888335 8:0.9507545901010048 9:0.0 10:0.01521728883589206 13:0.015151515151515152 14:0.1538461446762085 15:0.0823529411765 16:41.0
1.000 1:0.1923097242951487 2:0.0634920671582222 3:0.5246078543778728 4:0.3404255509376526 5:0.22473497039049037 6:1.0 7:5.186392392664713E-10 8:0.88706980999354 9:0.0 10:0.1355237106159484 13:0.16483516483516483 14:0.07142859697341919 15:0.41958041958 16:27.0
0.000 1:0.07531350395903354 2:0.3571428656578064 3:0.377518006500493 4:0.3191489577293396 5:0.11938756365574515 6:1.0 7:1.9145385978703775E-9 8:1.0 9:1.0 10:0.027256719147223815 13:0.045454545454545456 14:-0.25 15:0.142222222222 16:18.0
3.667 1:0.22365789514716194 2:1.0 3:0.5999836786754226 4:0.37931036949157715 5:0.20975140499008937 6:1.0 7:0.2955824103427751 8:1.0 9:1.0 10:0.13939270576898213 13:0.0 14:0.25 15:0.166666666667 16:16.0
2.333 1:0.3701304299651712 2:1.0 3:0.666650340101768 4:0.6470588445663452 5:0.2545154648961589 6:1.0 7:0.36881022862716434 8:1.0 9:1.0 10:0.1697185652331641 13:0.0 14:0.5 15:0.5 16:4.0
1.333 1:0.42697918686460834 2:0.0 3:0.7270341279476051 4:0.3529411554336548 5:0.26315629983590366 6:1.0 7:0.0 8:0.0 9:1.0 10:1.3428639949142167E-4 13:0.16666666666666666 14:-0.25 15:0.6 16:27.0
0.333 1:0.166473799551133 2:0.3086419701576233 3:0.3495262785232486 4:0.1428571343421936 5:0.17852192539872722 6:1.0 7:3.6753854255915936E-9 8:1.0 9:0.0 10:0.018112473755423984 13:0.022222222222222223 14:0.0 15:0.209150326797 16:0.0
0.333 1:0.23162768986705937 2:0.0 3:0.5758031071844804 4:0.2956521511077881 5:0.2641488513373957 6:1.0 7:0.0 8:0.89443097675886 9:1.0 10:0.1642029087042332 13:0.09219858156028368 14:0.1111111044883728 15:0.274122807018 16:37.0
1.000 1:0.13164125524911385 2:0.5009920597076416 3:0.601051266271263 4:0.30000001192092896 5:0.2099101231467953 6:1.0 7:2.6065206276346786E-7 8:0.0 9:0.0 10:0.00121054306886536 13:0.037037037037037035 14:0.1875 15:0.167701863354 16:53.0
1.667 1:0.22027407269686852 2:0.0 3:0.6559806151957223 4:0.37254899740219116 5:0.240242517225406 6:1.0 7:0.0 8:0.7294965041146895 9:1.0 10:0.020031815004739564 13:0.027777777777777776 14:0.2222222089767456 15:0.166666666667 16:23.0
1.333 1:0.08943613604709161 2:0.46515151858329773 3:0.43168317809579904 4:0.2867646813392639 5:0.1978448895825039 6:1.0 7:1.969133313370152E-8 8:1.0 9:1.0 10:0.09373772880409696 13:0.014814814814814815 14:0.1428571343421936 15:0.0488888888889 16:69.0
1.667 1:0.17726537191077663 2:0.0 3:0.5760414211588866 4:0.2799999713897705 5:0.17578911989258011 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:0.0 15:0.133333333333 16:10.0
0.333 1:0.02774381087422693 2:0.02857142873108387 3:0.2831368173076744 4:0.23076921701431274 5:0.018575103920916013 6:1.0 7:4.4479351139795674E-10 8:0.0 9:1.0 10:2.369066900967937E-6 13:0.0 14:0.05882352590560913 15:0.0 16:17.0
0.000 1:0.07018886587446324 2:0.0 3:0.3109196102387481 4:0.2613636255264282 5:0.050259371862563594 6:1.0 7:0.0 8:0.993455618360243 9:1.0 10:0.09895152399662496 13:0.009433962264150943 14:0.0625 15:0.0595238095238 16:25.0
0.333 1:0.030190064243260283 2:0.0 3:0.2698135610699901 4:0.2763158082962036 5:0.0324862593489196 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.015748031496062992 14:0.11764705181121826 15:0.0 16:25.0
2.333 1:0.33648110684480015 2:0.0 3:0.6478175002116443 4:0.53125 5:0.6269629676340158 6:1.0 7:0.0 8:0.9715183211337552 9:1.0 10:0.5913860851869045 13:0.28888888888888886 14:0.19999998807907104 15:0.350877192982 16:0.0
3.667 1:0.3963165010243063 2:0.0 3:0.7478741452267514 4:0.22580647468566895 5:0.5894977348456307 6:1.0 7:0.0 8:1.0 9:1.0 10:0.04737853659395441 13:0.047619047619047616 14:0.1428571343421936 15:0.171428571429 16:18.0
2.667 1:0.1541740618601428 2:0.0 3:0.4285628356631655 4:0.3333333134651184 5:0.21106853850464607 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:0.1428571343421936 15:0.177777777778 16:16.0
0.333 1:0.12862964846500974 2:0.0 3:0.43330526901494676 4:0.19999998807907104 5:0.09786610164189233 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:0.0 15:0.285714285714 16:14.0
0.000 1:0.25245581094511493 2:0.8214285373687744 3:0.5720688594494222 4:0.25316452980041504 5:0.12090346602273751 6:1.0 7:0.10983982332246342 8:0.0 9:1.0 10:0.0 13:0.10714285714285714 14:-0.75 15:0.380952380952 16:53.0
0.333 1:0.1340120834988651 2:0.0 3:0.2840595792667329 4:0.1780821681022644 5:0.11690884639423509 6:1.0 7:0.0 8:0.8275371039124509 9:1.0 10:0.0071857280159648975 13:0.0 14:-0.307692289352417 15:0.12 16:1.0
2.000 1:0.3685146712063574 2:0.0 3:0.47655475063431685 4:0.3472222089767456 5:0.321643375291123 6:1.0 7:0.0 8:0.6170591799534304 9:1.0 10:0.29629492551607484 13:0.2727272727272727 14:-0.5833333730697632 15:0.541935483871 16:61.0
0.000 1:0.07223131147939492 2:0.0 3:0.31407418153517763 4:0.239130437374115 5:0.06420605683100193 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.009900990099009901 14:0.11764705181121826 15:0.0428571428571 16:52.0
0.667 1:0.3187120929482862 2:1.0 3:0.5002179730628239 4:0.21333330869674683 5:0.19490105535709143 6:1.0 7:0.10638608355865378 8:0.0 9:1.0 10:0.0 13:0.16216216216216217 14:-0.5 15:0.477272727273 16:18.0
0.333 1:0.04371534294904501 2:0.0 3:0.2757247338190353 4:0.1547619104385376 5:0.01960290884597924 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:-0.16666662693023682 15:0.0 16:2.0
1.667 1:0.1819888833499672 2:0.0 3:0.6499933876562893 4:0.375 5:0.21929937440149352 6:1.0 7:0.0 8:0.9551552565771873 9:1.0 10:0.21180540184221802 13:0.045454545454545456 14:0.25 15:0.0823529411765 16:32.0
1.333 1:0.03239048652786397 2:0.5214285850524902 3:0.26843591361815056 4:0.25 5:0.023557415376789476 6:1.0 7:8.786845298505286E-8 8:0.0 9:0.0 10:0.0 13:0.0 14:0.05882352590560913 15:0.0 16:15.0
0.000 1:0.10109073254832765 2:0.9049999713897705 3:0.35525617497101086 4:0.1931818127632141 5:0.1086718810996822 6:1.0 7:0.07775161669371314 8:0.0 9:0.0 10:0.0 13:0.0136986301369863 14:-0.1538461446762085 15:0.203636363636 16:3.0
1.000 1:0.08776455073747501 2:0.4201388955116272 3:0.501972364143424 4:0.2950819730758667 5:0.1444829531092311 6:1.0 7:8.895984803593079E-7 8:0.0 9:1.0 10:0.0 13:0.033582089552238806 14:0.07407408952713013 15:0.0793650793651 16:34.0
0.667 1:0.22912693735814132 2:0.3106576204299927 3:0.41429762975030465 4:0.4623655676841736 5:0.18858343901840519 6:1.0 7:2.9457107346893344E-9 8:1.0 9:1.0 10:0.12734050986962814 13:0.15454545454545454 14:0.3529411554336548 15:0.436363636364 16:21.0
0.000 1:0.16673954384454828 2:0.5779221057891846 3:0.41778552060835683 4:0.2666666507720947 5:0.10132635958089643 6:1.0 7:5.217353733066354E-7 8:0.9160104445036994 9:1.0 10:4.364339818904297E-4 13:0.0 14:-1.0909090042114258 15:0.131034482759 16:52.0
0.667 1:0.05015337252280703 2:0.0 3:0.4027336772969728 4:0.27358490228652954 5:0.035912190099496664 6:1.0 7:0.0 8:0.9550135758884745 9:1.0 10:0.2989313293194585 13:0.032 14:0.1764705777168274 15:0.0595238095238 16:36.0
2.000 1:0.1680476459122663 2:0.0 3:0.43184470442992606 4:0.2428571581840515 5:0.26848016296841587 6:1.0 7:0.0 8:0.0 9:0.0 10:0.0 13:0.0392156862745098 14:0.0 15:0.0797101449275 16:13.0
0.667 1:0.1531971890184307 2:0.0 3:0.48086696270396284 4:0.30000001192092896 5:0.1392582291268244 6:1.0 7:0.0 8:0.8950928850523736 9:1.0 10:0.06887828334721446 13:0.02564102564102564 14:0.07692307233810425 15:0.0757575757576 16:15.0
3.000 1:0.14102368601005236 2:0.0 3:0.5883534028782353 4:0.2181817889213562 5:0.4073522046210853 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:-1.0 15:0.466666666667 16:36.0
0.667 1:0.09616143989630105 2:0.5208333134651184 3:0.48048347651704065 4:0.2731092572212219 5:0.1860887457967939 6:1.0 7:4.226544734876062E-9 8:0.8535903663778308 9:0.0 10:0.01684788008270555 13:0.060240963855421686 14:0.10204082727432251 15:0.0928792569659 16:62.0
0.333 1:0.16755098572860638 2:0.5952380895614624 3:0.5192434408963384 4:0.3211008906364441 5:0.18828757096500395 6:1.0 7:2.211833450308432E-8 8:0.9064975480813052 9:1.0 10:0.08586078304349191 13:0.11818181818181818 14:-0.1875 15:0.274038461538 16:18.0
0.667 1:0.2239410282952671 2:0.0 3:0.48609375477302946 4:0.22891569137573242 5:0.1961841593834932 6:1.0 7:0.0 8:0.9117835885625779 9:1.0 10:0.09067318914532678 13:0.0392156862745098 14:-0.3636363744735718 15:0.307317073171 16:25.0
1.667 1:0.31759497853785323 2:0.0 3:0.2157735107037393 4:0.30000001192092896 5:0.2218608345045352 6:1.0 7:0.0 8:0.0 9:1.0 10:1.3530908168008929E-5 13:0.0 14:-0.3999999761581421 15:0.218181818182 16:20.0
0.000 1:0.41198038738029696 2:0.0 3:0.5916944904152603 4:0.5333333015441895 5:0.28727106288924026 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.16666666666666666 14:0.5 15:0.5 16:3.0
1.333 1:0.15685575520018455 2:0.0 3:0.4374560085234329 4:0.14705884456634521 5:0.19948736057192742 6:1.0 7:0.0 8:1.0 9:1.0 10:0.15139797336244948 13:0.0 14:0.125 15:0.119047619048 16:4.0
2.000 1:0.4868398978855055 2:0.0 3:0.5621676833235627 4:0.3125 5:0.441331544758554 6:1.0 7:0.0 8:0.8894103568740065 9:1.0 10:0.20999723656273628 13:0.2777777777777778 14:-0.3333333730697632 15:0.761904761905 16:18.0
2.000 1:0.3204573393303927 2:0.0 3:0.5687358336306386 4:0.2613636255264282 5:0.1936601630362306 6:1.0 7:0.0 8:1.0 9:1.0 10:0.10609547584319166 13:0.14285714285714285 14:-1.2857143878936768 15:0.304761904762 16:44.0
0.667 1:0.0 2:0.0 3:0.33900397030046364 4:0.23333334922790527 5:0.0 6:1.0 7:0.0 8:0.0 9:1.0 10:4.9486578263751905E-5 13:0.0 14:-0.5714285373687744 15:0.0 16:17.0
0.333 1:0.09836270180999708 2:0.0 3:0.4319546248212128 4:0.3012048006057739 5:0.1259293780737083 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.0 14:0.0 15:0.0714285714286 16:28.0
1.667 1:0.1507541664181146 2:1.0 3:0.25765163478047637 4:0.29729729890823364 5:0.19624894215753705 6:1.0 7:0.19474270383723707 8:0.0 9:1.0 10:0.0 13:0.0 14:0.125 15:0.151515151515 16:17.0
0.333 1:0.09588646547850121 2:0.5714285969734192 3:0.2931985703562298 4:0.1931818127632141 5:0.08152787002799632 6:1.0 7:0.08080206842884279 8:0.0 9:1.0 10:1.7137647514257973E-4 13:0.0 14:-0.07142853736877441 15:0.199584199584 16:7.0
