4.000 1:0.5422236073496747 2:0.7654321193695068 3:0.745414926814971 4:0.6190476417541504 5:0.6504060181733762 6:0.0 7:0.08958248873922776 8:0.9382372770057836 9:1.0 10:0.16451954842195418 13:0.4281437125748503 14:0.5517241358757019 15:0.613333333333 16:38.0
3.750 1:0.5688091377064696 2:1.0 3:0.6470638997046548 4:0.49514561891555786 5:0.5479358464362193 6:0.6748215520319525 7:0.08278109557538484 8:0.6037537663896528 9:1.0 10:0.0013255759178296943 13:0.38181818181818183 14:0.09090906381607056 15:0.883116883117 16:34.0
2.800 1:0.46097223531000836 2:0.0 3:0.6367470858331168 4:0.48181819915771484 5:0.5925643174372061 6:1.0 7:0.0 8:0.9353545393241112 9:0.0 10:0.5862740126013998 13:0.31125827814569534 14:0.2631579041481018 15:0.62091503268 16:0.0
3.400 1:0.842418576053607 2:1.0 3:0.7949138465338039 4:0.6418604850769043 5:0.7108144230775929 6:0.7947586216799394 7:0.03875900617679393 8:0.8373379159586486 9:0.0 10:0.44469443254645136 13:0.7352941176470589 14:0.27272725105285645 15:1.16973495234 16:73.0
2.400 1:0.21790696949183472 2:0.7551020383834839 3:0.4550281217011167 4:0.29752063751220703 5:0.21491495946242395 6:0.38922287332574845 7:0.03858540045695122 8:0.8971668457734086 9:1.0 10:0.0979977962215573 13:0.11255411255411256 14:0.045454561710357666 15:0.415155535899 16:11.0
1.333 1:0.24075101365313104 2:0.09107142686843872 3:0.6356767417420077 4:0.44545453786849976 5:0.40328389369040496 6:0.0 7:5.840002989201535E-10 8:0.0 9:0.0 10:1.935474183497032E-4 13:0.21794871794871795 14:0.2916666865348816 15:0.294900221729 16:12.0
4.600 1:0.29527703326505533 2:1.0 3:0.6001970126866032 4:0.2931936979293823 5:0.386908393323912 6:1.0 7:0.11535201847954327 8:0.8198617796633532 9:1.0 10:0.0033923513760681836 13:0.27358490566037735 14:0.06451612710952759 15:0.554187192118 16:29.0
3.800 1:0.4045797275324711 2:1.0 3:0.5751252630954979 4:0.47096776962280273 5:0.47331759950940727 6:0.0 7:0.06990334868236486 8:0.7069526138059206 9:0.0 10:0.0944542277988944 13:0.2641509433962264 14:0.1818181872367859 15:0.722222222222 16:44.0
4.200 1:0.3815981270195694 2:0.6878306865692139 3:0.6326222201503525 4:0.38255035877227783 5:0.641409730596883 6:0.0 7:0.11383606717552137 8:0.6022809796614137 9:1.0 10:0.058516537835439184 13:0.14859437751004015 14:0.3199999928474426 15:0.511387163561 16:33.0
2.600 1:0.31677368531166716 2:0.6136904358863831 3:0.5662705577423676 4:0.3333333134651184 5:0.3802438789495039 6:1.0 7:0.060034895731777706 8:0.9299837350111901 9:1.0 10:0.014828206605908533 13:0.21782178217821782 14:0.1904761791229248 15:0.552282157676 16:2.0
4.400 1:0.4486773634840394 2:0.5037037134170532 3:0.7180197745443093 4:0.2469879388809204 5:0.5976148475121086 6:0.0 7:0.03992343925904683 8:0.9973119570102172 9:0.41981167378282125 10:0.561315756379881 13:0.27624309392265195 14:-0.06896555423736572 15:0.725132625995 16:8.0
4.200 1:0.7372681059968677 2:1.0 3:0.6956901306089972 4:0.5820105671882629 5:0.6088219915332712 6:1.0 7:0.08591575738281301 8:0.9470809226596191 9:1.0 10:0.26441214310260125 13:0.7591973244147158 14:0.5 15:0.0 16:47.0
5.000 1:0.7875749619989191 2:1.0 3:0.7112552075943955 4:0.858208954334259 5:0.8452543101846691 6:0.6586020403847481 7:0.09620351933313362 8:0.9143919464846756 9:1.0 10:0.2985003498876043 13:0.7490636704119851 14:0.7599999904632568 15:0.882828282828 16:3.0
5.000 1:0.5639006096378034 2:1.0 3:0.6747093561442273 4:0.32258063554763794 5:0.6353462739399441 6:0.6310464690496839 7:0.13699562346777436 8:0.7800017921723711 9:1.0 10:0.08262181014291074 13:0.3054054054054054 14:0.125 15:0.816231343284 16:20.0
5.000 1:0.3791356550043535 2:0.0 3:0.423851051214731 4:0.36486488580703735 5:0.47602312418425047 6:0.5224023067414041 7:0.0 8:0.6918469349021537 9:0.0 10:0.07916130243672256 13:0.22727272727272727 14:0.3333333134651184 15:0.606060606061 16:10.0
3.400 1:0.6323583919442123 2:0.9366666674613953 3:0.7304422195401645 4:0.6759259700775146 5:0.6208770236439186 6:0.43172750819318484 7:0.1031660320709337 8:0.8183898966792692 9:0.639562053036375 10:0.38306626107895236 13:0.49044585987261147 14:0.5789473652839661 15:0.666666666667 16:6.0
5.000 1:0.38746891530721167 2:0.0 3:0.6024116900058277 4:0.40259742736816406 5:0.5152280108266251 6:1.0 7:0.0 8:0.9811466877245709 9:1.0 10:0.4345568984123248 13:0.23148148148148148 14:0.25 15:0.592592592593 16:22.0
4.000 1:0.33745082691951517 2:1.0 3:0.5602031351130283 4:0.5481481552124023 5:0.4036600165285009 6:1.0 7:0.07880295463192677 8:0.7414649965293965 9:1.0 10:0.07271429045043377 13:0.175 14:0.25 15:0.493506493506 16:18.0
3.200 1:0.5320621219762546 2:1.0 3:0.649605462870295 4:0.3510638475418091 5:0.40023832043453356 6:1.0 7:0.11713284585233168 8:1.0 9:1.0 10:0.23468283680058677 13:0.21978021978021978 14:0.07142859697341919 15:0.685714285714 16:15.0
5.000 1:0.725301652483041 2:1.0 3:0.8056731935047051 4:0.44565218687057495 5:0.8053654451722253 6:0.4115477214388975 7:0.12153842988005903 8:1.0 9:1.0 10:0.6491716665168838 13:0.5428571428571428 14:0.550000011920929 15:0.944444444444 16:0.0
4.400 1:0.41451523023210396 2:0.4444444477558136 3:0.6089335904489582 4:0.442307710647583 5:0.491481799626523 6:0.7374345500297558 7:3.889919471016463E-9 8:0.9987178505688291 9:1.0 10:0.3323359533133345 13:0.1885245901639344 14:0.29411762952804565 15:0.6375 16:9.0
3.600 1:0.4402507559326926 2:1.0 3:0.5299553582242806 4:0.21794873476028442 5:0.40470252547420765 6:0.5372449610936542 7:0.09781896422290387 8:0.0 9:1.0 10:1.6997703575797227E-4 13:0.22727272727272727 14:-0.08333337306976318 15:0.69209039548 16:10.0
3.600 1:0.3621384739324542 2:1.0 3:0.5839471463457523 4:0.39560437202453613 5:0.48133727195491216 6:1.0 7:0.2770030268164454 8:0.8524337830403625 9:1.0 10:0.1306208359495319 13:0.19230769230769232 14:0.2777777910232544 15:0.4375 16:13.0
0.800 1:0.23169228547486484 2:0.0 3:0.47989894978134134 4:0.39603960514068604 5:0.1710910752311784 6:0.0 7:0.0 8:0.9834335842783385 9:1.0 10:0.003620886674643666 13:0.20253164556962025 14:0.15789473056793213 15:0.405882352941 16:1.0
1.400 1:0.27778471734565474 2:0.7250000238418579 3:0.6419675126721743 4:0.5121951103210449 5:0.4606293032462543 6:0.6509752243648809 7:0.125112419390359 8:0.0 9:1.0 10:2.5589600855404814E-5 13:0.14634146341463414 14:0.3999999761581421 15:0.47619047619 16:27.0
3.200 1:0.4498569808732081 2:1.0 3:0.7531814982283228 4:0.5889570713043213 5:0.6082373996407138 6:0.7717843652341206 7:0.1128296187506308 8:0.9564030264682627 9:1.0 10:0.615048917833957 13:0.4256198347107438 14:0.4615384340286255 15:0.65 16:15.0
3.800 1:0.5763944372097026 2:1.0 3:0.8197432988455322 4:0.5625 5:0.5442989257884161 6:0.0 7:0.07711780084786315 8:0.8010807141864873 9:1.0 10:0.3811244528635868 13:0.46629213483146065 14:0.2857142686843872 15:0.839793281654 16:63.0
4.200 1:0.4347421890161275 2:0.0 3:0.5874861539814237 4:0.40310078859329224 5:0.554265774078153 6:0.4052305520042466 7:0.0 8:0.5556087150519784 9:0.0 10:0.07821122893495684 13:0.21875 14:0.30000001192092896 15:0.5 16:5.0
3.000 1:0.6186139774525272 2:0.6736111044883728 3:0.7666721011386366 4:0.8188405632972717 5:0.8370621225284975 6:1.0 7:0.05791092502376249 8:0.9686377009587015 9:0.0 10:0.6071504215056862 13:0.6231454005934718 14:0.7142857313156128 15:0.797101449275 16:5.0
3.600 1:0.45817184191993526 2:0.0 3:0.5943507697289153 4:0.4285714030265808 5:0.5797297054537487 6:0.0 7:0.0 8:0.9509809150905016 9:1.0 10:0.44795398020914773 13:0.23452768729641693 14:0.2857142686843872 15:0.324786324786 16:48.0
3.000 1:0.39188194232621665 2:1.0 3:0.5654623364940969 4:0.4166666865348816 5:0.4194213916569789 6:1.0 7:0.13785692382405595 8:0.9152322913510386 9:1.0 10:0.13191944651416837 13:0.41830065359477125 14:0.15789473056793213 15:0.877939529675 16:30.0
3.000 1:0.34477420542120324 2:0.7305748462677002 3:0.7136522948195713 4:0.5273972749710083 5:0.5420844652173856 6:0.6899575215479545 7:0.1258987888960429 8:0.9824570818161356 9:0.34143500555797146 10:0.08809153780872069 13:0.2676056338028169 14:0.4375 15:0.391304347826 16:54.0
3.000 1:0.5263675929835399 2:1.0 3:0.696080482861857 4:0.4065040946006775 5:0.5749993797183912 6:1.0 7:0.1620020750020822 8:1.0 9:1.0 10:0.43780728038922506 13:0.3263157894736842 14:0.3500000238418579 15:0.65 16:11.0
4.800 1:0.5391175476102261 2:0.0 3:0.5992081323992945 4:0.23529410362243652 5:0.6204111767010314 6:1.0 7:0.0 8:0.9649824011179493 9:1.0 10:0.08407519850127361 13:0.26022304832713755 14:-0.125 15:0.772727272727 16:6.0
2.500 1:0.37975000927521146 2:1.0 3:0.4961176093491567 4:0.3642383813858032 5:0.34672120811930557 6:1.0 7:0.04492262805830836 8:0.77101525132867 9:1.0 10:0.02558676053649844 13:0.42483660130718953 14:-0.1052631139755249 15:0.90112640801 16:64.0
2.250 1:0.30773712849698454 2:0.5409091114997864 3:0.5182759694494393 4:0.26760566234588623 5:0.25430746104260044 6:0.7288052787661397 7:0.09890680284882417 8:1.0 9:1.0 10:0.1623012137035854 13:0.13333333333333333 14:0.07692307233810425 15:0.555555555556 16:8.0
3.500 1:0.3871830163455759 2:0.0 3:0.6091087525223107 4:0.48739492893218994 5:0.36449886299228645 6:1.0 7:0.0 8:0.7093637545885919 9:1.0 10:0.05231942392100264 13:0.23770491803278687 14:0.1764705777168274 15:0.7 16:30.0
3.500 1:0.48004104282023224 2:0.0 3:0.655040009560048 4:0.3563218116760254 5:0.3475007493396608 6:1.0 7:0.0 8:0.8156671925515778 9:1.0 10:0.14193093267941573 13:0.2727272727272727 14:0.09090906381607056 15:0.919191919192 16:31.0
3.000 1:0.8150135128991288 2:1.0 3:0.7031463915710322 4:0.46551722288131714 5:0.7323751282501648 6:1.0 7:0.06803198916629924 8:0.9075067715322578 9:0.0 10:0.1983407150488418 13:0.6496815286624203 14:0.1499999761581421 15:0.964131994261 16:32.0
3.000 1:0.4600147480229383 2:0.0 3:0.6481945705060321 4:0.22448980808258057 5:0.5215018033797046 6:0.3433418297070198 7:0.0 8:0.883753347301822 9:0.0 10:0.12814248798335856 13:0.17117117117117117 14:-0.1875 15:0.946643717728 16:10.0
3.667 1:0.4753681334717758 2:1.0 3:0.6417550796999678 4:0.5652173757553101 5:0.6032736622874314 6:0.5605175973386989 7:0.06991353526741781 8:0.7176881363944729 9:0.0 10:0.17617106590234846 13:0.48091603053435117 14:0.4117646813392639 15:0.803571428571 16:16.0
1.667 1:0.18937542316706446 2:0.7631746530532837 3:0.47870911691220924 4:0.267123281955719 5:0.30241541013464085 6:0.0 7:0.15614406981268278 8:0.0 9:0.1878151469767294 10:1.7938151782987429E-6 13:0.06666666666666667 14:0.03846156597137451 15:0.177777777778 16:52.0
3.600 1:0.5545965050772199 2:1.0 3:0.7695483097571637 4:0.4601770043373108 5:0.6045126327015573 6:0.8007490767413866 7:0.035615094752153034 8:0.8597450622896518 9:1.0 10:0.23692274701825572 13:0.560126582278481 14:0.2142857313156128 15:0.794504181601 16:52.0
3.800 1:0.19804321107472708 2:0.7611110806465149 3:0.6304939488815359 4:0.3641975522041321 5:0.3344878041285029 6:0.0 7:0.06128191005644783 8:0.0 9:1.0 10:0.0 13:0.09206349206349207 14:0.18518519401550293 15:0.516923076923 16:17.0
3.400 1:0.4940986814202148 2:1.0 3:0.6929342301750259 4:0.5775861740112305 5:0.692731485218723 6:1.0 7:0.07991635273679466 8:0.9612282982371094 9:1.0 10:0.30853561984113026 13:0.2892561983471074 14:0.5 15:0.44347826087 16:28.0
3.400 1:0.3161747625786663 2:1.0 3:0.6552272751868934 4:0.26760566234588623 5:0.369599581857719 6:1.0 7:0.10600496610187819 8:0.823418659629817 9:0.0 10:0.15292717846559906 13:0.1910828025477707 14:0.0 15:0.657894736842 16:16.0
3.800 1:0.6468947799323514 2:1.0 3:0.8319761107357508 4:0.6530612111091614 5:0.8176835869416827 6:1.0 7:0.03701219184436656 8:0.928977094510893 9:1.0 10:0.056895065170121356 13:0.44502617801047123 14:0.6206896305084229 15:0.550724637681 16:50.0
2.800 1:0.4503297124787208 2:0.8907408118247986 3:0.6313487718608572 4:0.5527950525283813 5:0.3705794604948709 6:0.7086138840779324 7:0.14601168363928316 8:0.8828817317894843 9:1.0 10:0.26508033612455517 13:0.43333333333333335 14:0.1904761791229248 15:0.849327435226 16:33.0
3.750 1:0.5912334138184008 2:0.9821428656578064 3:0.759780490133981 4:0.25641024112701416 5:0.7273994255903229 6:1.0 7:0.2897022762508222 8:0.9857026094819957 9:1.0 10:0.28944590555090816 13:0.3013698630136986 14:0.19999998807907104 15:0.565714285714 16:25.0
4.400 1:0.49709389941368015 2:0.8485448956489563 3:0.7650586399877516 4:0.75 5:0.6617562906224745 6:0.8970641800209549 7:0.14580803097451583 8:0.9171883623827254 9:1.0 10:0.613730040395717 13:0.3958333333333333 14:0.5882352590560913 15:0.530856005309 16:13.0
3.750 1:0.4660031434828799 2:1.0 3:0.5738675804650799 4:0.3333333134651184 5:0.6438672378507746 6:0.3826094007351964 7:0.18054080741389691 8:0.9742360298768525 9:1.0 10:0.5824180377381356 13:0.30939226519337015 14:0.30434781312942505 15:0.59649122807 16:21.0
2.750 1:0.42167601010369765 2:0.8818181753158569 3:0.6422751551548592 4:0.6948052048683167 5:0.6569386366461193 6:0.0 7:0.2051568203746388 8:0.917080796202437 9:1.0 10:0.5002088276835738 13:0.4870967741935484 14:0.5517241358757019 15:0.0 16:23.0
3.750 1:0.5731454238348193 2:0.6276927590370178 3:0.9430567151019413 4:0.6198830604553223 5:0.8764460104148791 6:0.29130029804308155 7:0.06151912445087318 8:0.0 9:0.0 10:5.5462017268407826E-5 13:0.4817351598173516 14:0.6764705777168274 15:0.591133004926 16:65.0
2.250 1:0.33208035264750974 2:0.0 3:0.5224524883761337 4:0.317460298538208 5:0.40866437085142726 6:0.744160605411931 7:0.0 8:0.9715351555638403 9:1.0 10:0.3976716470292777 13:0.10480349344978165 14:0.08695650100708008 15:0.535897435897 16:14.0
3.800 1:0.3770917956040949 2:1.0 3:0.5777429058732412 4:0.518796980381012 5:0.5396622080233915 6:1.0 7:0.0465198749717865 8:0.6913403075900042 9:1.0 10:0.1269787922635635 13:0.20689655172413793 14:0.3999999761581421 15:0.497076023392 16:32.0
3.200 1:0.44209531352568926 2:1.0 3:0.6436784687429008 4:0.23333334922790527 5:0.538077947637506 6:0.909687140168146 7:0.05987693680675381 8:0.925424268897076 9:1.0 10:0.48149050361910467 13:0.2644230769230769 14:0.09090906381607056 15:0.431746031746 16:4.0
3.800 1:0.4924811711170747 2:0.0 3:0.5738247815685423 4:0.3604651093482971 5:0.3731440260214089 6:1.0 7:0.0 8:0.9025105695192702 9:1.0 10:0.11774028929248685 13:0.28346456692913385 14:0.10526317358016968 15:0.657894736842 16:76.0
4.800 1:0.2878649560410845 2:0.8708333373069763 3:0.5885830085041462 4:0.45049506425857544 5:0.39161307279458246 6:0.45513467178059025 7:0.06246238409162232 8:0.8439852062421629 9:0.0 10:0.4504467461104528 13:0.23702031602708803 14:0.3030303120613098 15:0.427586206897 16:3.0
4.000 1:0.42992681042819547 2:0.3035714328289032 3:0.7191320761145495 4:0.5562130212783813 5:0.5657165073779029 6:0.0 7:2.5411146132597623E-7 8:0.8797823898424499 9:0.0 10:0.4121858778926236 13:0.3108433734939759 14:0.4375 15:0.542784163474 16:21.0
1.400 1:0.27113393534813085 2:0.648809552192688 3:0.5378146255535026 4:0.23188406229019165 5:0.3362979823020786 6:0.0 7:0.09640908361892125 8:0.6392054748785665 9:0.0 10:0.05882460339383916 13:0.08734939759036145 14:0.0 15:0.407407407407 16:9.0
4.200 1:0.30230871228540934 2:0.890625 3:0.6545757602605002 4:0.47087377309799194 5:0.3108814656646382 6:0.36373208234450066 7:0.09360633677331345 8:0.9718376797989834 9:1.0 10:0.25651279579873754 13:0.22857142857142856 14:0.25 15:0.763925729443 16:27.0
1.800 1:0.5475936274914248 2:0.0 3:0.6293841158577936 4:0.5977011919021606 5:0.5621550062819519 6:0.0 7:0.0 8:0.9089574199223613 9:1.0 10:0.15870168637737875 13:0.35855263157894735 14:0.3461538553237915 15:0.731563421829 16:40.0
4.200 1:0.6717436852801818 2:0.0 3:0.7787493968195408 4:0.6484848260879517 5:0.7854734254489721 6:0.8960416879412227 7:0.0 8:0.9273484803689934 9:1.0 10:0.3096647575030444 13:0.5751633986928104 14:0.4444444179534912 15:0.748821060268 16:13.0
2.000 1:0.5483776810470941 2:0.0 3:0.6540369360416656 4:0.3981481194496155 5:0.4868452507080595 6:1.0 7:0.0 8:0.6426385645127217 9:1.0 10:0.015928219338515074 13:0.2727272727272727 14:-0.08333337306976318 15:1.02857142857 16:44.0
2.600 1:0.2616030792559073 2:1.0 3:0.5450155149570254 4:0.317829430103302 5:0.3297992936842418 6:0.3428137360338025 7:0.06321532312536451 8:0.9558012233927263 9:1.0 10:0.14073221791386253 13:0.1419141914191419 14:0.14814811944961548 15:0.434782608696 16:25.0
