4.200 1:0.452291559953812 2:1.0 3:0.7660328019361294 4:0.6206896305084229 5:0.5713582009561678 6:0.8213022855556167 7:0.10533223473873793 8:0.9795787204368349 9:1.0 10:0.41767651140656614 13:0.453448275862069 14:0.5135135054588318 15:0.670995670996 16:16.0
4.250 1:0.37927496198743244 2:0.0 3:0.549218537192874 4:0.431506872177124 5:0.4336810089213076 6:1.0 7:0.0 8:0.6508158730922884 9:1.0 10:0.24491732090483453 13:0.2982456140350877 14:-0.15789473056793213 15:0.741984732824 16:56.0
4.800 1:0.5006254741962338 2:0.0 3:0.8742398279273782 4:0.6780822277069092 5:0.5185859867819734 6:1.0 7:0.0 8:0.9458861147443932 9:1.0 10:0.045101198377119664 13:0.3611111111111111 14:0.5384615659713745 15:0.535714285714 16:7.0
4.800 1:0.500759980747552 2:0.0 3:0.7815137346897523 4:0.4961240291595459 5:0.6920259420101426 6:1.0 7:0.0 8:0.684535174816332 9:1.0 10:0.030357517388866054 13:0.5513513513513514 14:0.5714285373687744 15:0.630832400149 16:13.0
4.000 1:0.3756844162472512 2:0.689393937587738 3:0.7182851893923775 4:0.5784313678741455 5:0.6293464884597696 6:1.0 7:0.0411747834624313 8:0.9775946313255084 9:0.0 10:0.38792826656426804 13:0.31220095693779903 14:0.42000001668930054 15:0.517006802721 16:70.0
4.800 1:0.5219554678514857 2:0.0 3:0.7284382369917259 4:0.4883720874786377 5:0.6905512185957379 6:1.0 7:0.0 8:0.684535174816332 9:1.0 10:0.030348676073163498 13:0.5405405405405406 14:0.523809552192688 15:0.630832400149 16:16.0
3.750 1:0.33895289990822547 2:0.6904761791229248 3:0.6641580699961824 4:0.541850209236145 5:0.5592994332735088 6:1.0 7:0.05093581285789116 8:0.7144840135423322 9:1.0 10:0.40820551437634384 13:0.33270676691729323 14:0.4736841917037964 15:0.517857142857 16:42.0
4.800 1:0.2977105535909436 2:0.0 3:0.6163368437906003 4:0.4710744023323059 5:0.3892171683167118 6:1.0 7:0.0 8:0.9613930607818825 9:1.0 10:0.06568486650238146 13:0.1956521739130435 14:0.43478262424468994 15:0.472727272727 16:49.0
4.000 1:0.4288606451664514 2:0.9025640487670898 3:0.6801814905749637 4:0.6100917458534241 5:0.6226237154374354 6:1.0 7:0.13468684585062812 8:0.8789571678995941 9:0.0 10:0.14336063235804167 13:0.36699029126213595 14:0.6000000238418579 15:0.607583886515 16:52.0
4.800 1:0.5495537193206546 2:1.0 3:0.6667805049753166 4:0.6195286512374878 5:0.837631373329589 6:0.5970648700593866 7:0.06512980751701286 8:0.9587856013749027 9:1.0 10:0.5031768071808214 13:0.5613608748481167 14:0.4642857313156128 15:0.942857142857 16:17.0
4.800 1:0.496487029782303 2:0.0 3:0.6835077266134332 4:0.586776852607727 5:0.663203018496963 6:1.0 7:0.0 8:0.9566721508592987 9:1.0 10:0.08216173363782547 13:0.45652173913043476 14:0.5652173757553101 15:0.643243243243 16:28.0
4.200 1:0.43499265621957756 2:0.0 3:0.6690871213877677 4:0.5704697966575623 5:0.4204806121894997 6:1.0 7:0.0 8:0.8220814197040701 9:1.0 10:0.329872147315994 13:0.45038167938931295 14:0.3199999928474426 15:0.695210770249 16:30.0
4.500 1:0.7259283921622476 2:0.0 3:0.7479437479310107 4:0.7647058963775635 5:0.6682569829285601 6:0.7405605062155255 7:0.0 8:0.0 9:1.0 10:0.0 13:0.6666666666666666 14:0.8333333134651184 15:1.09090909091 16:7.0
4.000 1:0.6089602946872222 2:1.0 3:0.7674170744089557 4:0.2146892547607422 5:0.7819828417736117 6:1.0 7:0.09007144706568973 8:0.9984951288442254 9:1.0 10:0.915661768823981 13:0.30170316301703165 14:0.09677422046661377 15:0.79903202977 16:5.0
4.000 1:0.2385323584704211 2:1.0 3:0.5219273728076212 4:0.4126983880996704 5:0.35048525707889033 6:1.0 7:0.07252809121978697 8:0.9942826086116672 9:1.0 10:0.21775166535956061 13:0.12643678160919541 14:0.3500000238418579 15:0.384868421053 16:34.0
4.000 1:0.34750572255589635 2:0.6861110925674438 3:0.6888145696718583 4:0.5925155878067017 5:0.6488564058891393 6:1.0 7:0.041176934244481385 8:0.6263611540413692 9:1.0 10:0.5010283666961816 13:0.2751643904906424 14:0.3999999761581421 15:0.625815857547 16:73.0
3.800 1:0.2768593001637219 2:1.0 3:0.70238263905193 4:0.42405062913894653 5:0.41459497977800036 6:0.0 7:0.09989941370863967 8:0.9101045107379936 9:1.0 10:0.1847468027808491 13:0.2113564668769716 14:0.29032260179519653 15:0.294188861985 16:32.0
5.000 1:0.717028260635068 2:0.8571428656578064 3:0.7836606645627797 4:0.744966447353363 5:0.7048960856327194 6:1.0 7:4.543422556466668E-7 8:0.9828181793732148 9:1.0 10:0.7554235802002447 13:0.6496350364963503 14:0.7407407760620117 15:0.846153846154 16:2.0
4.800 1:0.3316143963890907 2:0.6599999666213989 3:0.6164660682978284 4:0.540123462677002 5:0.6557838929815123 6:0.3243951902452606 7:0.03958280182226194 8:0.7864166915107349 9:1.0 10:0.10072313606679137 13:0.3744186046511628 14:0.31481480598449707 15:0.733908948195 16:41.0
4.800 1:0.5559845732957233 2:0.0 3:0.7229843822312754 4:0.5763888955116272 5:0.5999933851119148 6:1.0 7:0.0 8:0.9148738769157606 9:1.0 10:0.24736520618734364 13:0.43537414965986393 14:0.38461536169052124 15:0.660066006601 16:12.0
4.400 1:0.37932514254690064 2:0.6904761791229248 3:0.7148435414931349 4:0.5859030485153198 5:0.5670912312644852 6:1.0 7:0.04800452138459224 8:0.712676750685409 9:1.0 10:0.3903448906999219 13:0.40225563909774437 14:0.5263158082962036 15:0.596136978632 16:15.0
