0.04 1:0.18600218463963544 2:0.0 3:0.469846974148295 4:0.24390244483947754 5:0.077928656455728 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.1388888888888889 14:-1.0 15:0.406451612903 16:81.0
0.02 1:0.20228163698879725 2:0.6428571343421936 3:0.5496017398522227 4:0.3015872836112976 5:0.09575699652541819 6:1.0 7:1.630055723444719E-7 8:0.0 9:1.0 10:0.0 13:0.10714285714285714 14:-0.375 15:0.360902255639 16:29.0
0.05 1:0.112886016614262 2:0.37136244773864746 3:0.38833316562961734 4:0.19607841968536377 5:0.047964501756677956 6:1.0 7:1.4056575718134251E-8 8:0.0 9:0.0 10:0.0 13:0.045454545454545456 14:-0.5 15:0.112852664577 16:58.0
0.19 1:0.09704189316149735 2:0.44545453786849976 3:0.4514757698028149 4:0.2666666507720947 5:0.10953267760385575 6:1.0 7:4.8795376845915336E-8 8:1.0 9:1.0 10:0.00539795410144057 13:0.05776173285198556 14:0.0 15:0.0565217391304 16:19.0
0.02 1:0.08384106961488066 2:0.0 3:0.49659643855434765 4:0.25 5:0.1181070691649495 6:1.0 7:0.0 8:0.0 9:0.0 10:0.0 13:0.06802721088435375 14:-0.15789473056793213 15:0.0694444444444 16:16.0
0.08 1:0.2462281315988176 2:0.5568181872367859 3:0.6555633334091105 4:0.18823528289794922 5:0.11513028818398595 6:1.0 7:5.6566788339832204E-8 8:0.0 9:1.0 10:0.0 13:0.2 14:-1.3333332538604736 15:0.589473684211 16:60.0
0.02 1:0.17277361221656007 2:0.0 3:0.612940881837181 4:0.27027028799057007 5:0.1312365477207264 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.11290322580645161 14:-0.6666666269302368 15:0.306451612903 16:57.0
0.02 1:0.22485921802957604 2:0.0 3:0.5472314976956412 4:0.37931036949157715 5:0.11748031476344487 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.15789473684210525 14:0.10000002384185791 15:0.366666666667 16:17.0
0.02 1:0.2227053309543068 2:0.3333333432674408 3:0.5118332313158682 4:0.1908397078514099 5:0.06204016014626453 6:0.0 7:6.3528891650459125E-9 8:0.0 9:1.0 10:0.0 13:0.14285714285714285 14:-2.4285714626312256 15:0.25641025641 16:94.0
0.15 1:0.3373116298094485 2:0.4444444477558136 3:0.5373873153120741 4:0.23529410362243652 5:0.14008262727873302 6:0.0 7:1.8895836153146988E-8 8:0.0 9:0.0 10:0.0 13:0.2857142857142857 14:-1.1428570747375488 15:0.492753623188 16:65.0
0.09 1:0.05443098057668246 2:0.03888889029622078 3:0.3440484435964025 4:0.24770641326904297 5:0.06248321806585773 6:1.0 7:4.904505449497826E-10 8:0.0 9:0.0 10:0.0 13:0.0297029702970297 14:0.09090906381607056 15:0.0428571428571 16:7.0
0.03 1:0.11395200384533417 2:0.5 3:0.4340453701400136 4:0.32692307233810425 5:0.09927018286560034 6:1.0 7:6.5943883834859685E-9 8:1.0 9:1.0 10:0.03400371554574897 13:0.03680981595092025 14:0.21052628755569458 15:0.224137931034 16:26.0
0.43 1:0.19193138817395694 2:0.44999998807907104 3:0.5224212035794149 4:0.35849058628082275 5:0.22622051861281042 6:1.0 7:1.1230022665458054E-7 8:0.0 9:1.0 10:0.0 13:0.058823529411764705 14:0.27272725105285645 15:0.233333333333 16:19.0
0.21 1:0.09420146064585184 2:0.6944444179534912 3:0.44920836109191553 4:0.3181818127632141 5:0.07078554124571834 6:1.0 7:6.795656683830814E-9 8:0.0 9:1.0 10:0.0 13:0.03515625 14:0.125 15:0.190880169671 16:4.0
0.18 1:0.12009307772296281 2:0.1875 3:0.49298259870363265 4:0.31372547149658203 5:0.16001166361938618 6:1.0 7:1.4231415190299368E-9 8:0.527563812431626 9:0.0 10:0.09327809736561485 13:0.06790123456790123 14:0.15789473056793213 15:0.0551470588235 16:9.0
0.15 1:0.3373116298094485 2:0.3636363744735718 3:0.5124999494883494 4:0.23711341619491577 5:0.1339893227185174 6:0.0 7:5.267066905342684E-9 8:0.0 9:1.0 10:0.0 13:0.2857142857142857 14:-1.0 15:0.484848484848 16:60.0
0.19 1:0.16972458142003177 2:0.602430522441864 3:0.5457888024966743 4:0.4109588861465454 5:0.14563047198556608 6:1.0 7:0.09605300949920352 8:0.9548598679029303 9:0.5516414867704184 10:0.30976490027649267 13:0.06593406593406594 14:0.1428571343421936 15:0.101818181818 16:20.0
0.05 1:0.08568725123901443 2:0.1111111119389534 3:0.4364391744766125 4:0.292682945728302 5:0.048558556881848555 6:1.0 7:8.337595978217289E-10 8:0.0 9:1.0 10:0.0 13:0.02631578947368421 14:0.19999998807907104 15:0.0888888888889 16:7.0
0.33 1:0.0655292987870718 2:0.2538541555404663 3:0.436259383932771 4:0.239130437374115 5:0.07591174097212053 6:1.0 7:2.668647549725759E-7 8:0.0 9:0.0 10:0.0 13:0.008620689655172414 14:0.125 15:0.0285714285714 16:51.0
0.45 1:0.0683592535520405 2:0.3917378783226013 3:0.3395409229620609 4:0.27131783962249756 5:0.05842559387974826 6:1.0 7:6.359740093665314E-9 8:0.0 9:0.0 10:2.2384389477991423E-7 13:0.018518518518518517 14:0.0 15:0.0588235294118 16:27.0
0.17 1:0.2375922184818347 2:0.4444444477558136 3:0.4841437825502464 4:0.42424243688583374 5:0.2382016823374566 6:1.0 7:5.8012110984144565E-9 8:1.0 9:1.0 10:0.2080952089318729 13:0.11764705882352941 14:0.1818181872367859 15:0.15 16:13.0
0.08 1:0.34746769946930023 2:0.5208333134651184 3:0.569748070006084 4:0.19811320304870605 5:0.1157204832731739 6:1.0 7:3.995389988368423E-9 8:0.0 9:1.0 10:0.0 13:0.4 14:-2.3333332538604736 15:0.328571428571 16:81.0
0.14 1:0.09330902869701008 2:0.4571428596973419 3:0.6101340104378717 4:0.3695651888847351 5:0.10905673579413941 6:1.0 7:3.911446909573134E-8 8:1.0 9:0.0 10:0.11244614221526225 13:0.08064516129032258 14:-0.6666666269302368 15:0.208333333333 16:38.0
0.13 1:0.19577952503893023 2:0.765625 3:0.6273170122366784 4:0.28235292434692383 5:0.19610043344886255 6:1.0 7:6.607122684491013E-8 8:0.0 9:1.0 10:0.0 13:0.12903225806451613 14:-0.5555555820465088 15:0.466666666667 16:51.0
0.26 1:0.3080142689297094 2:0.5666666626930237 3:0.5755056164956613 4:0.3761467933654785 5:0.28875915377313927 6:1.0 7:0.07462196471736075 8:1.0 9:1.0 10:0.3236420949379224 13:0.20952380952380953 14:-0.13333332538604736 15:0.252100840336 16:36.0
0.22 1:0.07081931400428963 2:0.22857142984867096 3:0.4479552861059225 4:0.2799999713897705 5:0.059665164783483764 6:1.0 7:8.000249416619933E-9 8:0.0 9:0.0 10:0.0 13:0.01282051282051282 14:0.1538461446762085 15:0.0707070707071 16:16.0
0.15 1:0.1809811291477379 2:0.5370370149612427 3:0.6375741166198547 4:0.30927836894989014 5:0.2176182512515313 6:1.0 7:0.10160510104140076 8:0.0 9:1.0 10:0.0 13:0.06535947712418301 14:0.2777777910232544 15:0.125 16:56.0
0.08 1:0.12395340336836583 2:0.27690064907073975 3:0.5038165645597285 4:0.30434781312942505 5:0.16266997445312684 6:1.0 7:1.0924945498219035E-6 8:0.0 9:0.0 10:0.0 13:0.03017241379310345 14:0.08333331346511841 15:0.075 16:29.0
0.05 1:0.09012182220182823 2:0.5190476179122925 3:0.6090090638231703 4:0.25 5:0.12062401928738269 6:1.0 7:2.1568235004379257E-6 8:0.0 9:0.0 10:3.184703679676868E-4 13:0.026785714285714284 14:0.17391306161880493 15:0.0262725779967 16:63.0
0.4 1:0.4242170850896176 2:0.5611110925674438 3:0.6148067416695422 4:0.4848484992980957 5:0.46038161977990055 6:1.0 7:0.10552960511219503 8:0.903813674795837 9:0.5516414867704184 10:0.48806818834262017 13:0.21978021978021978 14:0.2142857313156128 15:0.618468146027 16:13.0
0.2 1:0.06574404799764079 2:0.0 3:0.44769834703184885 4:0.25999999046325684 5:0.09185737406806717 6:1.0 7:0.0 8:0.0 9:1.0 10:0.0 13:0.015544041450777202 14:0.13333332538604736 15:0.022869022869 16:92.0
0.08 1:0.04667955323400177 2:0.5053570866584778 3:0.49297884053959934 4:0.25 5:0.04395488915464455 6:1.0 7:5.4948272526992266E-8 8:0.0 9:0.0 10:0.0 13:0.008333333333333333 14:0.125 15:0.0424242424242 16:46.0
0.58 1:0.10104558589381527 2:0.4000000059604645 3:0.46512781779334744 4:0.3333333134651184 5:0.11910229237408806 6:1.0 7:1.1233807140927937E-8 8:0.0 9:0.0 10:0.0 13:0.034482758620689655 14:0.1875 15:0.133333333333 16:25.0
0.29 1:0.07109145184365245 2:0.5809752941131592 3:0.4145931725233064 4:0.2749999761581421 5:0.11675469173561974 6:1.0 7:5.009311757608848E-7 8:0.0 9:1.0 10:0.0 13:0.02857142857142857 14:0.0625 15:0.0659340659341 16:18.0
0.23 1:0.08879478790759408 2:0.0694444477558136 3:0.5375591423978979 4:0.30927836894989014 5:0.09684628927281626 6:1.0 7:7.273652405708994E-10 8:0.0 9:1.0 10:0.0 13:0.0392156862745098 14:0.1666666865348816 15:0.0535714285714 16:43.0
0.43 1:0.21884492543111042 2:1.0 3:0.5447477023589132 4:0.33636361360549927 5:0.1989872326042724 6:1.0 7:0.06252776080408827 8:0.9181045656993253 9:1.0 10:0.24995621034311402 13:0.1165644171779141 14:0.15789473056793213 15:0.463235294118 16:6.0
0.52 1:0.05684885827643651 2:0.4444444477558136 3:0.342872393367268 4:0.3100775480270386 5:0.024480911754819784 6:1.0 7:7.463485079186934E-9 8:0.0 9:1.0 10:2.2384389477991423E-7 13:0.009523809523809525 14:-0.2666666507720947 15:0.0871794871795 16:51.0
0.74 1:0.13013432903112213 2:0.0 3:0.432819836239706 4:0.2875000238418579 5:0.12160810305261184 6:1.0 7:0.0 8:0.0 9:0.0 10:0.0 13:0.05 14:0.25 15:0.169230769231 16:22.0
0.51 1:0.2941015105421128 2:0.7230902910232544 3:0.640898972565887 4:0.28985506296157837 5:0.35989046389967805 6:1.0 7:8.865288230159348E-8 8:0.0 9:1.0 10:9.820433850743509E-7 13:0.1111111111111111 14:0.3125 15:0.192513368984 16:35.0
