4.000 1:0.5799910322016728 2:0.6269311904907227 3:0.6689731082189073 4:0.6666666269302368 5:0.7165572664608882 6:1.0 7:0.41701820964924186 8:0.6987302518784784 9:0.735870320439778
3.750 1:0.6514543633909358 2:0.8333333134651184 3:0.53372649072536 4:0.5154639482498169 5:0.633052870380357 6:1.0 7:0.4544733349324044 8:0.670032081326384 9:0.6535512120111001
2.800 1:0.418375211414458 2:0.75 3:0.3641579689493589 4:0.4166666865348816 5:0.5065424498572922 6:1.0 7:0.4678818849737524 8:0.711770419619822 9:0.6775432480524989
3.400 1:0.9475402559556105 2:0.9318181872367859 3:0.9006377467894953 4:0.7150537967681885 5:0.8419153850784327 6:0.6 7:0.6099120100967634 8:0.8259347694903054 9:0.38684380968694765
2.400 1:0.0707185399054574 2:0.3787698447704315 3:0.315067821189179 4:0.3999999761581421 5:0.05433657710600693 6:0.3333333333333333 7:0.18702427700092605 8:0.0 9:0.520734490288497
1.333 1:0.17809829523750842 2:0.4960317611694336 3:0.3568074858933694 4:0.2795698642730713 5:0.1637287984861063 6:0.23529411764705882 7:0.2284225133712116 8:0.0 9:0.2972010534939257
4.600 1:0.4229033490671815 2:0.6069048047065735 3:0.5537549405648143 4:0.25157231092453003 5:0.5820580612066145 6:0.8888888888888888 7:0.33118916790498243 8:0.9557569217424201 9:0.42884164455647844
3.800 1:0.6391690233389921 2:0.8518518805503845 3:0.7205351697262206 4:0.5 5:0.7062707822731593 6:0.6666666666666666 7:0.47039347447905777 8:0.8713104330038167 9:0.5514542541066392
4.200 1:0.5776058684485268 2:0.9166666865348816 3:0.7495307969066037 4:0.5596330165863037 5:0.734705258777013 6:0.0 7:0.563811363948597 8:0.946436974309417 9:0.812318422035569
2.600 1:0.36209547564191613 2:0.6458333134651184 3:0.3261474905929612 4:0.45132744312286377 5:0.28651415043117606 6:1.0 7:0.277062445653549 8:0.8879537835325728 9:0.387658871060255
4.400 1:0.4415358693481067 2:0.7544444799423218 3:0.618212287508504 4:0.27210885286331177 5:0.5958641030589086 6:0.5 7:0.5305641394717566 8:0.8144697434700164 9:0.7300284682252701
4.200 1:0.7682642524208367 2:1.0 3:0.8092268220007001 4:0.6077347993850708 5:0.7750656678610264 6:1.0 7:0.5912639749220079 8:0.9057330268398945 9:0.9623675750822807
5.000 1:0.6075693207840024 2:1.0 3:0.7440824761427113 4:0.8208955526351929 5:0.8427801148356969 6:1.0 7:0.5188739476274309 8:0.9261712119062714 9:0.974410755076307
5.000 1:0.678057795545453 2:1.0 3:0.7419598479456406 4:0.2360248565673828 5:0.8706694783381563 6:0.8 7:0.5716895724992449 8:0.9003201804145816 9:0.9893713910266972
5.000 1:0.5309296299568158 2:1.0 3:0.46807280548632185 4:0.2083333134651184 5:0.6322549519966072 6:0.3333333333333333 7:0.5116174345058762 8:1.0 9:0.9822815843261528
3.400 1:0.6083987780639837 2:0.6690476536750793 3:0.6769008849888529 4:0.625 5:0.6056400571977183 6:0.8 7:0.34027981874117796 8:0.9588989854914938 9:0.7099858421106027
5.000 1:0.4700139073309354 2:0.6733333468437195 3:0.6680624468698116 4:0.35211265087127686 5:0.6021835999311267 6:1.0 7:0.4238297970187318 8:0.8399413087175462 9:0.7071572599988831
4.000 1:0.37264280122881255 2:0.45000001788139343 3:0.4872080305634909 4:0.52173912525177 5:0.2688311904785315 6:1.0 7:0.18487053131110195 8:0.7138453532338536 9:0.46133848117871057
3.200 1:0.6379960285662925 2:0.800000011920929 3:0.6065681870730634 4:0.3975903391838074 5:0.5567939642913943 6:1.0 7:0.3779152789254646 8:0.9712072315058647 9:0.6046842450194311
5.000 1:0.6422376053419147 2:0.8928571343421936 3:0.7752106816673896 4:0.5053763389587402 5:0.615729634948024 6:0.6666666666666666 7:0.4376525527988223 8:0.9642065266926819 9:0.9346088354598171
4.400 1:0.4129919008521586 2:0.9166666865348816 3:0.6810603164921953 4:0.47706419229507446 5:0.5187794343363372 6:1.0 7:0.3542693288416231 8:0.871540188548985 9:0.6715294852779092
3.600 1:0.4056503579753539 2:0.6899999976158142 3:0.26614837405433056 4:0.1764705777168274 5:0.4857498981687273 6:0.25 7:0.3693586763247869 8:0.5969469243572161 9:0.6722967135101164
3.600 1:0.3404082690364585 2:0.6388888955116272 3:0.4080692912187059 4:0.4729729890823364 5:0.32803815746568227 6:1.0 7:0.3368423067466604 8:0.8892178333087265 9:0.6677396846211708
0.800 1:0.05207239863285023 2:0.3400000035762787 3:0.367039723209504 4:0.4838709831237793 5:0.026369109864270945 6:0.2 7:0.06111788230732507 8:0.9559432908733789 9:0.6855062538086164
1.400 1:0.3120222807114082 2:0.6458333730697632 3:0.527445712685327 4:0.44871795177459717 5:0.5352867007255732 6:0.0 7:0.2355438456030699 8:0.9355617665944165 9:0.610837608190743
3.200 1:0.6398663658199921 2:0.8518518805503845 3:0.8551123038493845 4:0.7914110422134399 5:0.5000634060535573 6:1.0 7:0.4518771308957949 8:0.8961288952191061 9:0.8729796836027751
3.800 1:0.6477965569285705 2:0.9375 3:0.6696894174387269 4:0.5428571701049805 5:0.552783842440058 6:1.0 7:0.48959671445191855 8:0.6969872483085682 9:0.6035488824714241
4.200 1:0.4086450116168201 2:0.49424606561660767 3:0.5131622706764601 4:0.25 5:0.49170410059995107 6:0.0 7:0.2425477129489294 8:0.8731223641751429 9:0.5618201318611903
3.000 1:0.7241341056835396 2:0.9444444179534912 3:0.803940788634268 4:0.7983871102333069 5:0.8204466305260527 6:1.0 7:0.5610730141599659 8:0.891234446733111 9:0.8899328958483841
3.600 1:0.3840520094381405 2:0.6064285039901733 3:0.5546933260752277 4:0.45679014921188354 5:0.5061967353023736 6:1.0 7:0.6090508621149826 8:0.8131447584552656 9:0.5982414539844336
3.000 1:1.0 2:1.0 3:0.6190724428774644 4:0.4300000071525574 5:0.9096591271806411 6:0.5 7:0.4379066221475253 8:0.8816664797053844 9:0.7189672780429498
3.000 1:0.4257769837954587 2:0.5857143402099609 3:0.4845987997451567 4:0.5083333253860474 5:0.5682126631208089 6:0.75 7:0.15964593904024152 8:0.8129262898000138 9:0.588529585301604
3.000 1:0.5482233346113315 2:0.41111114621162415 3:0.34981244451591764 4:0.4590163826942444 5:0.811923481983404 6:0.6666666666666666 7:0.12039653635076039 8:0.8673099676836058 9:0.25104284112750797
4.800 1:0.6275686793885258 2:0.9545454382896423 3:0.8144809572638153 4:0.2847222089767456 5:0.7259148817836175 6:1.0 7:0.6514976359965817 8:0.9042822567514542 9:0.943199345274968
2.500 1:0.9955387378962681 2:1.0 3:0.6893755095681475 4:0.4822695255279541 5:0.5214953226863934 6:0.4 7:0.32526444756405826 8:0.9003843114336121 9:0.9419140411723798
2.250 1:0.3455602445177778 2:0.5703703761100769 3:0.4081679105036544 4:0.3661971688270569 5:0.5749453948118187 6:0.0 7:0.3027848395238267 8:0.7974832243650536 9:0.5678716848414687
3.500 1:0.40396716755871237 2:0.6210317015647888 3:0.6233615630021572 4:0.509615421295166 5:0.6310946454431224 6:1.0 7:0.3109839638503186 8:0.8555301089175681 9:0.10564199076310672
3.500 1:0.5409973056841172 2:1.0 3:0.41529546726451744 4:0.3374999761581421 5:0.48229712814996767 6:1.0 7:0.43713491334578936 8:0.6476061220412765 9:0.4488326187508015
3.000 1:0.8381211261343566 2:1.0 3:0.8761092831292708 4:0.43529409170150757 5:0.6774822581502578 6:1.0 7:0.28541736268911055 8:0.0 9:0.9665028698299244
3.000 1:0.4507997338190325 2:0.574999988079071 3:0.6566208658489441 4:0.3181818127632141 5:0.360511466389873 6:0.3333333333333333 7:0.1978965499371056 8:0.8507899215112529 9:0.6042619065501401
3.667 1:0.7566024943976732 2:0.875 3:0.657554108647344 4:0.5421686768531799 5:0.8471841333846384 6:0.75 7:0.4872313821362074 8:0.7584571711533532 9:0.3159528240130704
1.667 1:0.28479061937025846 2:0.564393937587738 3:0.4070592066889433 4:0.2520325183868408 5:0.32943487745630895 6:0.36363636363636365 7:0.34673498285949267 8:0.7745851759217135 9:0.41995887965960726
3.600 1:0.6241814524557955 2:0.7181817889213562 3:0.6179709021791295 4:0.453125 5:0.7136107741625841 6:0.8571428571428571 7:0.339473382027412 8:0.7826048698711933 9:0.5732147039474269
3.800 1:0.3906941447039771 2:0.8181818127632141 3:0.5553963435045821 4:0.4236111044883728 5:0.4824378282556239 6:0.0 7:0.4661639458666642 8:0.7243812461379 9:0.7920534374583603
3.400 1:0.4229605755961727 2:0.7037037014961243 3:0.46581661521088985 4:0.6190476417541504 5:0.6184320277562383 6:0.3333333333333333 7:0.17137656245707095 8:0.9486320765887507 9:0.9880551875975018
3.400 1:0.3199336635917295 2:0.7083333730697632 3:0.44291537089740185 4:0.23636364936828613 5:0.32781773667659203 6:1.0 7:0.3487134351171025 8:0.8077539167196491 9:0.565715778761625
3.800 1:0.7005041210147351 2:0.7530302405357361 3:0.9373450661396555 4:0.6758620738983154 5:0.8533382103082886 6:1.0 7:0.5066014559686572 8:0.8413991352392364 9:0.8392092710044626
2.800 1:0.5309841906300887 2:0.6666666865348816 3:0.6356419479569403 4:0.567375898361206 5:0.4418916722760099 6:0.8571428571428571 7:0.2928092231006494 8:0.8541038577249963 9:0.41457635717896574
3.750 1:0.7069511366646908 2:0.8212454319000244 3:0.8808931255774004 4:0.4236111044883728 5:0.8469217730831173 6:1.0 7:0.5572872367673875 8:0.9042370217044851 9:0.6284483650807366
4.400 1:0.6212908008772307 2:0.8256409764289856 3:0.6954685540328728 4:0.7976190447807312 5:0.7949681961664333 6:0.8888888888888888 7:0.42529334353928533 8:0.9340008268569766 9:0.8693061588192083
3.750 1:0.6013892253110751 2:0.7731481790542603 3:0.7710578217876914 4:0.35135138034820557 5:0.8148115973536113 6:0.8888888888888888 7:0.5590152915648667 8:0.776010756307652 9:0.7760256511932995
2.750 1:0.4669478344527471 2:1.0 3:0.6936187709471844 4:0.7857142686843872 5:0.47623680509019345 6:0.6666666666666666 7:0.2264968772386278 8:0.9430933599969112 9:0.8868693264620598
3.750 1:0.6474910330719934 2:0.7323809266090393 3:0.9566341757586664 4:0.6206896305084229 5:0.8148664990391203 6:0.8 7:0.617636771484132 8:0.7414517989045197 9:0.3740539092186342
2.250 1:0.5350135532692996 2:0.5321428179740906 3:0.4043416375175698 4:0.38679248094558716 5:0.6532532267176813 6:0.0 7:0.27361889554998753 8:0.822187943435814 9:0.5208983942640879
3.800 1:0.453956662738516 2:0.7629629969596863 3:0.5789556911325516 4:0.6800000071525574 5:0.7390648557116366 6:1.0 7:0.5512803537013635 8:0.9197589389855707 9:0.6633747180020081
3.200 1:0.4001305816954034 2:0.5625 3:0.6066646413912895 4:0.2568807601928711 5:0.5687295744661744 6:0.5 7:0.23988562404889952 8:0.9224187084321149 9:0.12378668342885055
3.800 1:0.40178590390985097 2:0.7124999761581421 3:0.6373015623870603 4:0.37593984603881836 5:0.343877874125014 6:0.5 7:0.41532759038300404 8:0.8542364748833118 9:0.38920780928875204
4.800 1:0.39112182153901687 2:0.593650758266449 3:0.545431294294416 4:0.29012346267700195 5:0.5441657710258877 6:0.4 7:0.17159471233251444 8:0.9041248036087296 9:0.5384469593008135
4.000 1:0.36769164255934556 2:0.5915977954864502 3:0.5780774321388336 4:0.6217948794364929 5:0.372112721328554 6:0.0 7:0.2729363418299171 8:0.9698664634735651 9:0.45414377439813103
1.400 1:0.4303087827577864 2:0.6653845906257629 3:0.43929823093729997 4:0.34224599599838257 5:0.46945351973917243 6:0.0 7:0.3594734331947322 8:0.7834173465107719 9:0.552993658537697
4.200 1:0.47657397023666737 2:0.7721088528633118 3:0.5502557297758415 4:0.39306360483169556 5:0.5713912122388378 6:0.9333333333333333 7:0.49326456426149745 8:0.9392353932110757 9:0.9103247299858923
1.800 1:0.44847450807255307 2:0.7066665887832642 3:0.431358497739066 4:0.6268656849861145 5:0.32290544364213114 6:1.0 7:0.36826316069129 8:0.9490591656117294 9:0.7129589472468846
4.200 1:0.6122599061361783 2:0.7527777552604675 3:0.7348527659318216 4:0.6666666269302368 5:0.8019561064663365 6:0.5714285714285714 7:0.4464175770905408 8:0.94287756566011 9:0.7336153308735136
