4.200 1:0.4465607770794342 2:0.8297619223594666 3:0.46818407706644416 4:0.5 5:0.514739506785578 6:1.0 7:0.5141698814920408 8:0.9425873071573612 9:0.8387606467875621
4.250 1:0.5212674945081396 2:0.9166666865348816 3:0.46330242465729954 4:0.46206897497177124 5:0.6225818763083529 6:1.0 7:0.47541250849280386 8:0.9526919800025315 9:0.7709822771794325
4.800 1:0.4793997971754943 2:0.5714285969734192 3:0.6047082157031191 4:0.769784152507782 5:0.6045721870969811 6:1.0 7:0.2322926356425657 8:0.9392125885719471 9:0.43019026088251733
4.800 1:0.625326364026373 2:0.9047619104385376 3:0.6514051795044484 4:0.6724138259887695 5:0.8169232250971626 6:1.0 7:0.5322150247535273 8:0.8958134672386365 9:0.8317937078419284
4.000 1:0.3279073119703641 2:0.6574074029922485 3:0.5102179211066786 4:0.4676259160041809 5:0.4566059068547697 6:0.0 7:0.365337843883554 8:0.8768256900656235 9:0.312091268039261
4.800 1:0.46818879998232643 2:0.9047619104385376 3:0.6218485988156199 4:0.6724138259887695 5:0.7307116170964854 6:1.0 7:0.5522433586000675 8:0.8803475152855773 9:0.8439988510861554
3.750 1:0.3213496607515653 2:0.7303029894828796 3:0.6264794227026509 4:0.5791854858398438 5:0.43686645965055015 6:1.0 7:0.30819041107779344 8:0.8302317696321022 9:0.7149355185282535
4.800 1:0.24502571391218447 2:0.6722221970558167 3:0.5813023742325336 4:0.4811320900917053 5:0.37513598545335025 6:1.0 7:0.27788015453802156 8:0.0 9:0.4078991228974777
4.000 1:0.4186388888077495 2:0.804444432258606 3:0.5404529202722362 4:0.604651153087616 5:0.5675440147609794 6:1.0 7:0.5548084791689882 8:0.7705763224503988 9:0.7398933220738172
4.800 1:0.5724774458891633 2:0.8657407760620117 3:0.5592782595216136 4:0.548701286315918 5:0.8061387874777499 6:0.625 7:0.5529016599549503 8:0.9525636389211054 9:0.925175112311331
4.800 1:0.5239538341885629 2:0.7555555701255798 3:0.6660370584809405 4:0.5283018946647644 5:0.76893222758619 6:1.0 7:0.321263872937649 8:0.9409825945984513 9:0.7048734583160535
4.200 1:0.10614121813211012 2:0.28357142210006714 3:0.3509578090547353 4:0.5064102411270142 5:0.12162295931071991 6:0.8 7:0.08212296138517268 8:0.9383390451794545 9:0.7921406066866695
4.500 1:0.9803952835411184 2:1.0 3:0.9891304694869669 4:0.9189189076423645 5:0.8824456435626845 6:1.0 7:0.26139756281344106 8:0.7597278239467853 9:0.9999807136017516
4.000 1:0.6395428109187223 2:0.944444477558136 3:0.7183491586713204 4:0.23391813039779663 5:0.843272198926768 6:1.0 7:0.6022242588457467 8:0.9515338353728741 9:0.9903840177631088
4.000 1:0.47981487543883894 2:0.8571428656578064 3:0.38819978288407797 4:0.4954954981803894 5:0.6642811146442378 6:1.0 7:0.47766122781349973 8:0.8282521323167855 9:0.6643047383921952
4.000 1:0.2972984553551187 2:0.770833432674408 3:0.5528054671027265 4:0.53125 5:0.4522887967657725 6:1.0 7:0.5455545867095807 8:0.8893276958920395 9:0.8490657012886914
3.800 1:0.22743401713593034 2:0.6604166626930237 3:0.49830999222589467 4:0.39416056871414185 5:0.201342920696453 6:0.0 7:0.22303857940560617 8:0.0 9:0.5841581648745927
5.000 1:0.6827945130441778 2:0.9444444179534912 3:0.6968882105116999 4:0.6712328791618347 5:0.6383601608774149 6:1.0 7:0.538375672437639 8:0.9772968572588242 9:0.9418217426641273
4.800 1:0.30515473984758407 2:0.7520833015441895 3:0.4613191975123707 4:0.5276873111724854 5:0.5622017470959152 6:1.0 7:0.37715410979314157 8:0.8644162356084906 9:0.7744436764817633
4.800 1:0.4476046185665127 2:0.8399999737739563 3:0.3995181263547634 4:0.4750000238418579 5:0.48479196604283714 6:1.0 7:0.2633002730942236 8:0.8462276108908904 9:0.8499594816533933
4.400 1:0.3967628536758915 2:0.8212120532989502 3:0.6313096626466513 4:0.615384578704834 5:0.5168994131941358 6:1.0 7:0.35728537970915847 8:0.9526106834666124 9:0.759573375750179
3.500 1:0.287802199065172 2:0.4375 3:0.5576594571090531 4:0.5118110179901123 5:0.29267176265537065 6:0.5 7:0.1947312430033532 8:0.9616940849187678 9:0.17235975678523716
4.800 1:0.4833555700737758 2:0.9166666269302368 3:0.6917804660141984 4:0.6993464231491089 5:0.5294537412158614 6:0.0 7:0.5023251059878194 8:0.9282630685530668 9:0.9307366417066912
3.000 1:0.353690452680658 2:0.9285714030265808 3:0.18340770208066834 4:0.35135138034820557 5:0.5265937253566887 6:1.0 7:0.6079282841395829 8:0.0 9:0.6643047383921952
5.000 1:0.48668324589685014 2:1.0 3:0.6196507529237044 4:0.21621620655059814 5:0.49748865330648284 6:1.0 7:0.5474693005789772 8:0.961718439833932 9:0.9998627765536156
4.400 1:0.25541022676904424 2:0.5878787636756897 3:0.46474057967197857 4:0.510869562625885 5:0.347200723025482 6:1.0 7:0.3242726059269505 8:0.9250500395456775 9:0.41448665346405333
3.000 1:0.005071618749355052 2:0.5250000357627869 3:0.25310664624536344 4:0.3095238208770752 5:2.816351578319151E-4 6:1.0 7:0.20360707262767344 8:0.0 9:0.41222625603628166
3.400 1:0.3240401613283913 2:0.5354166030883789 3:0.45104137787158377 4:0.40883976221084595 5:0.4346323262894987 6:1.0 7:0.3583340884471 8:0.9555458656475923 9:0.8641767264727266
